origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
01,045,08,001,Alabama,Dale County,49454.0,135.0,38795.0,943.0,9986.0,887.0,3603.0,558.0,2583.0,550.0,3800.0,508.0,673.0,377.0,Colorado,Adams County,439827.0,3479.0,366358.0,3702.0,73469.0,2825.0,37658.0,2486.0,26798.0,1966.0,9013.0,1051.0,,,33.0,37.0,Dale,Adams,01_045,08_001,outflow_09_13_Colorado.csv
01,051,08,001,Alabama,Elmore County,79256.0,157.0,67686.0,1321.0,11361.0,1320.0,4161.0,727.0,5937.0,924.0,1263.0,353.0,209.0,127.0,Colorado,Adams County,439827.0,3479.0,366358.0,3702.0,73469.0,2825.0,37658.0,2486.0,26798.0,1966.0,9013.0,1051.0,,,6.0,11.0,Elmore,Adams,01_051,08_001,outflow_09_13_Colorado.csv
01,055,08,001,Alabama,Etowah County,102969.0,200.0,87546.0,1493.0,15276.0,1468.0,10122.0,1230.0,4008.0,797.0,1146.0,358.0,147.0,122.0,Colorado,Adams County,439827.0,3479.0,366358.0,3702.0,73469.0,2825.0,37658.0,2486.0,26798.0,1966.0,9013.0,1051.0,,,9.0,14.0,Etowah,Adams,01_055,08_001,outflow_09_13_Colorado.csv
01,115,08,001,Alabama,St. Clair County,83656.0,173.0,72613.0,1346.0,10894.0,1378.0,5738.0,1081.0,4205.0,810.0,951.0,304.0,149.0,88.0,Colorado,Adams County,439827.0,3479.0,366358.0,3702.0,73469.0,2825.0,37658.0,2486.0,26798.0,1966.0,9013.0,1051.0,,,106.0,121.0,St. Clair,Adams,01_115,08_001,outflow_09_13_Colorado.csv
01,117,08,001,Alabama,Shelby County,196265.0,275.0,169969.0,1992.0,25665.0,1920.0,12134.0,1389.0,9924.0,1158.0,3607.0,769.0,631.0,300.0,Colorado,Adams County,439827.0,3479.0,366358.0,3702.0,73469.0,2825.0,37658.0,2486.0,26798.0,1966.0,9013.0,1051.0,,,23.0,30.0,Shelby,Adams,01_117,08_001,outflow_09_13_Colorado.csv
02,020,08,001,Alaska,Anchorage Municipality,290691.0,472.0,231102.0,2593.0,56928.0,2476.0,35631.0,2367.0,5778.0,794.0,15519.0,1304.0,2661.0,505.0,Colorado,Adams County,439827.0,3479.0,366358.0,3702.0,73469.0,2825.0,37658.0,2486.0,26798.0,1966.0,9013.0,1051.0,,,13.0,22.0,Anchorage Municipality,Adams,02_020,08_001,outflow_09_13_Colorado.csv
02,122,08,001,Alaska,Kenai Peninsula Borough,55419.0,145.0,46404.0,884.0,8827.0,874.0,5276.0,624.0,1512.0,299.0,2039.0,422.0,188.0,81.0,Colorado,Adams County,439827.0,3479.0,366358.0,3702.0,73469.0,2825.0,37658.0,2486.0,26798.0,1966.0,9013.0,1051.0,,,62.0,97.0,Kenai Peninsula Borough,Adams,02_122,08_001,outflow_09_13_Colorado.csv
02,170,08,001,Alaska,Matanuska-Susitna Borough,90256.0,149.0,75823.0,1137.0,14167.0,1140.0,7851.0,921.0,3575.0,598.0,2741.0,389.0,266.0,110.0,Colorado,Adams County,439827.0,3479.0,366358.0,3702.0,73469.0,2825.0,37658.0,2486.0,26798.0,1966.0,9013.0,1051.0,,,17.0,25.0,Matanuska-Susitna Borough,Adams,02_170,08_001,outflow_09_13_Colorado.csv
04,013,08,001,Arizona,Maricopa County,3835677.0,1696.0,3067321.0,12603.0,743278.0,12614.0,574235.0,11769.0,39795.0,2829.0,129248.0,4343.0,25078.0,2110.0,Colorado,Adams County,439827.0,3479.0,366358.0,3702.0,73469.0,2825.0,37658.0,2486.0,26798.0,1966.0,9013.0,1051.0,,,261.0,179.0,Maricopa,Adams,04_013,08_001,outflow_09_13_Colorado.csv
04,015,08,001,Arizona,Mohave County,199603.0,286.0,157636.0,2588.0,41264.0,2613.0,23733.0,1964.0,5001.0,892.0,12530.0,1631.0,703.0,287.0,Colorado,Adams County,439827.0,3479.0,366358.0,3702.0,73469.0,2825.0,37658.0,2486.0,26798.0,1966.0,9013.0,1051.0,,,49.0,56.0,Mohave,Adams,04_015,08_001,outflow_09_13_Colorado.csv
