origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
19,003,19,001,Iowa,Adams County,3920.0,16.0,3434.0,109.0,467.0,108.0,288.0,87.0,153.0,69.0,26.0,21.0,19.0,20.0,Iowa,Adair County,7711.0,226.0,6767.0,164.0,944.0,198.0,258.0,84.0,679.0,162.0,7.0,11.0,,,8.0,10.0,Adams,Adair,19_003,19_001,outflow_09_13_Iowa.csv
19,009,19,001,Iowa,Audubon County,5966.0,20.0,5362.0,125.0,597.0,126.0,378.0,113.0,195.0,78.0,24.0,19.0,7.0,9.0,Iowa,Adair County,7711.0,226.0,6767.0,164.0,944.0,198.0,258.0,84.0,679.0,162.0,7.0,11.0,,,53.0,68.0,Audubon,Adair,19_009,19_001,outflow_09_13_Iowa.csv
19,015,19,001,Iowa,Boone County,26038.0,75.0,22219.0,535.0,3726.0,544.0,1711.0,400.0,1714.0,360.0,301.0,146.0,93.0,111.0,Iowa,Adair County,7711.0,226.0,6767.0,164.0,944.0,198.0,258.0,84.0,679.0,162.0,7.0,11.0,,,8.0,12.0,Boone,Adair,19_015,19_001,outflow_09_13_Iowa.csv
19,021,19,001,Iowa,Buena Vista County,19938.0,106.0,16498.0,578.0,3237.0,546.0,2108.0,475.0,541.0,161.0,588.0,182.0,203.0,101.0,Iowa,Adair County,7711.0,226.0,6767.0,164.0,944.0,198.0,258.0,84.0,679.0,162.0,7.0,11.0,,,3.0,6.0,Buena Vista,Adair,19_021,19_001,outflow_09_13_Iowa.csv
19,049,19,001,Iowa,Dallas County,68464.0,194.0,59477.0,1081.0,8891.0,1077.0,3105.0,725.0,4411.0,756.0,1375.0,380.0,96.0,50.0,Iowa,Adair County,7711.0,226.0,6767.0,164.0,944.0,198.0,258.0,84.0,679.0,162.0,7.0,11.0,,,83.0,73.0,Dallas,Adair,19_049,19_001,outflow_09_13_Iowa.csv
19,053,19,001,Iowa,Decatur County,8239.0,34.0,6630.0,234.0,1599.0,231.0,881.0,212.0,386.0,130.0,332.0,101.0,10.0,14.0,Iowa,Adair County,7711.0,226.0,6767.0,164.0,944.0,198.0,258.0,84.0,679.0,162.0,7.0,11.0,,,2.0,3.0,Decatur,Adair,19_053,19_001,outflow_09_13_Iowa.csv
19,077,19,001,Iowa,Guthrie County,10732.0,36.0,9759.0,173.0,964.0,172.0,472.0,135.0,371.0,107.0,121.0,52.0,9.0,9.0,Iowa,Adair County,7711.0,226.0,6767.0,164.0,944.0,198.0,258.0,84.0,679.0,162.0,7.0,11.0,,,56.0,38.0,Guthrie,Adair,19_077,19_001,outflow_09_13_Iowa.csv
19,103,19,001,Iowa,Johnson County,132424.0,231.0,97161.0,1711.0,33636.0,1615.0,19021.0,1443.0,7847.0,731.0,6768.0,726.0,1627.0,490.0,Iowa,Adair County,7711.0,226.0,6767.0,164.0,944.0,198.0,258.0,84.0,679.0,162.0,7.0,11.0,,,17.0,22.0,Johnson,Adair,19_103,19_001,outflow_09_13_Iowa.csv
19,105,19,001,Iowa,Jones County,20421.0,69.0,17952.0,442.0,2466.0,450.0,1111.0,296.0,936.0,237.0,419.0,264.0,3.0,4.0,Iowa,Adair County,7711.0,226.0,6767.0,164.0,944.0,198.0,258.0,84.0,679.0,162.0,7.0,11.0,,,7.0,12.0,Jones,Adair,19_105,19_001,outflow_09_13_Iowa.csv
19,109,19,001,Iowa,Kossuth County,15268.0,55.0,13815.0,219.0,1442.0,213.0,875.0,194.0,464.0,129.0,103.0,48.0,11.0,15.0,Iowa,Adair County,7711.0,226.0,6767.0,164.0,944.0,198.0,258.0,84.0,679.0,162.0,7.0,11.0,,,6.0,13.0,Kossuth,Adair,19_109,19_001,outflow_09_13_Iowa.csv
