origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
20,003,20,001,Kansas,Anderson County,7889.0,42.0,6359.0,430.0,1527.0,426.0,705.0,367.0,558.0,189.0,264.0,181.0,3.0,4.0,Kansas,Allen County,14249.0,625.0,11295.0,336.0,2954.0,622.0,1072.0,238.0,1713.0,572.0,169.0,121.0,,,58.0,67.0,Anderson,Allen,20_003,20_001,outflow_09_13_Kansas.csv
20,005,20,001,Kansas,Atchison County,16597.0,86.0,14435.0,354.0,2138.0,349.0,1173.0,274.0,520.0,198.0,445.0,176.0,24.0,26.0,Kansas,Allen County,14249.0,625.0,11295.0,336.0,2954.0,622.0,1072.0,238.0,1713.0,572.0,169.0,121.0,,,106.0,150.0,Atchison,Allen,20_005,20_001,outflow_09_13_Kansas.csv
20,007,20,001,Kansas,Barber County,4844.0,25.0,4278.0,147.0,566.0,143.0,248.0,89.0,207.0,89.0,111.0,70.0,,,Kansas,Allen County,14249.0,625.0,11295.0,336.0,2954.0,622.0,1072.0,238.0,1713.0,572.0,169.0,121.0,,,1.0,4.0,Barber,Allen,20_007,20_001,outflow_09_13_Kansas.csv
20,011,20,001,Kansas,Bourbon County,14698.0,104.0,12494.0,440.0,2183.0,436.0,1524.0,402.0,454.0,174.0,205.0,99.0,21.0,23.0,Kansas,Allen County,14249.0,625.0,11295.0,336.0,2954.0,622.0,1072.0,238.0,1713.0,572.0,169.0,121.0,,,4.0,6.0,Bourbon,Allen,20_011,20_001,outflow_09_13_Kansas.csv
20,013,20,001,Kansas,Brown County,9770.0,45.0,8402.0,233.0,1349.0,224.0,703.0,171.0,457.0,134.0,189.0,86.0,19.0,15.0,Kansas,Allen County,14249.0,625.0,11295.0,336.0,2954.0,622.0,1072.0,238.0,1713.0,572.0,169.0,121.0,,,1.0,3.0,Brown,Allen,20_013,20_001,outflow_09_13_Kansas.csv
20,017,20,001,Kansas,Chase County,2753.0,11.0,2264.0,139.0,486.0,140.0,213.0,85.0,209.0,89.0,64.0,49.0,3.0,5.0,Kansas,Allen County,14249.0,625.0,11295.0,336.0,2954.0,622.0,1072.0,238.0,1713.0,572.0,169.0,121.0,,,1.0,4.0,Chase,Allen,20_017,20_001,outflow_09_13_Kansas.csv
20,027,20,001,Kansas,Clay County,8373.0,58.0,7449.0,270.0,793.0,239.0,417.0,205.0,243.0,115.0,133.0,70.0,131.0,92.0,Kansas,Allen County,14249.0,625.0,11295.0,336.0,2954.0,622.0,1072.0,238.0,1713.0,572.0,169.0,121.0,,,2.0,3.0,Clay,Allen,20_027,20_001,outflow_09_13_Kansas.csv
20,031,20,001,Kansas,Coffey County,8425.0,39.0,7177.0,210.0,1217.0,212.0,425.0,108.0,475.0,149.0,317.0,132.0,31.0,21.0,Kansas,Allen County,14249.0,625.0,11295.0,336.0,2954.0,622.0,1072.0,238.0,1713.0,572.0,169.0,121.0,,,56.0,34.0,Coffey,Allen,20_031,20_001,outflow_09_13_Kansas.csv
20,035,20,001,Kansas,Cowley County,35789.0,112.0,28024.0,694.0,7713.0,675.0,4626.0,489.0,1814.0,359.0,1273.0,284.0,52.0,31.0,Kansas,Allen County,14249.0,625.0,11295.0,336.0,2954.0,622.0,1072.0,238.0,1713.0,572.0,169.0,121.0,,,2.0,3.0,Cowley,Allen,20_035,20_001,outflow_09_13_Kansas.csv
20,037,20,001,Kansas,Crawford County,38699.0,89.0,30812.0,837.0,7612.0,862.0,4746.0,709.0,1470.0,348.0,1396.0,350.0,275.0,175.0,Kansas,Allen County,14249.0,625.0,11295.0,336.0,2954.0,622.0,1072.0,238.0,1713.0,572.0,169.0,121.0,,,146.0,141.0,Crawford,Allen,20_037,20_001,outflow_09_13_Kansas.csv
