origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
02,185,24,001,Alaska,North Slope Borough,9302.0,53.0,7547.0,312.0,1685.0,303.0,824.0,209.0,554.0,179.0,307.0,100.0,70.0,65.0,Maryland,Allegany County,73177.0,898.0,63828.0,1033.0,9349.0,948.0,5753.0,725.0,1821.0,487.0,1775.0,460.0,,,4.0,9.0,North Slope Borough,Allegany,02_185,24_001,outflow_09_13_Maryland.csv
05,123,24,001,Arkansas,St. Francis County,27612.0,123.0,23128.0,599.0,4405.0,581.0,2837.0,550.0,652.0,210.0,916.0,210.0,79.0,60.0,Maryland,Allegany County,73177.0,898.0,63828.0,1033.0,9349.0,948.0,5753.0,725.0,1821.0,487.0,1775.0,460.0,,,10.0,18.0,St. Francis,Allegany,05_123,24_001,outflow_09_13_Maryland.csv
06,025,24,001,California,Imperial County,172470.0,356.0,144946.0,1851.0,26304.0,1806.0,20258.0,1737.0,4122.0,523.0,1924.0,389.0,1220.0,374.0,Maryland,Allegany County,73177.0,898.0,63828.0,1033.0,9349.0,948.0,5753.0,725.0,1821.0,487.0,1775.0,460.0,,,5.0,9.0,Imperial,Allegany,06_025,24_001,outflow_09_13_Maryland.csv
06,029,24,001,California,Kern County,835972.0,761.0,671912.0,4519.0,160237.0,4515.0,118735.0,4419.0,31441.0,2202.0,10061.0,1418.0,3823.0,527.0,Maryland,Allegany County,73177.0,898.0,63828.0,1033.0,9349.0,948.0,5753.0,725.0,1821.0,487.0,1775.0,460.0,,,22.0,27.0,Kern,Allegany,06_029,24_001,outflow_09_13_Maryland.csv
09,011,24,001,Connecticut,New London County,271492.0,290.0,231363.0,1929.0,38691.0,1898.0,21642.0,1617.0,6264.0,723.0,10785.0,1095.0,1438.0,359.0,Maryland,Allegany County,73177.0,898.0,63828.0,1033.0,9349.0,948.0,5753.0,725.0,1821.0,487.0,1775.0,460.0,,,28.0,38.0,New London,Allegany,09_011,24_001,outflow_09_13_Maryland.csv
11,001,24,001,District of Columbia,District of Columbia,611783.0,505.0,492936.0,3131.0,110160.0,3084.0,61442.0,2580.0,,,48718.0,1744.0,8687.0,794.0,Maryland,Allegany County,73177.0,898.0,63828.0,1033.0,9349.0,948.0,5753.0,725.0,1821.0,487.0,1775.0,460.0,,,10.0,16.0,District of Columbia,Allegany,11_001,24_001,outflow_09_13_Maryland.csv
12,011,24,001,Florida,Broward County,1765201.0,944.0,1470865.0,6552.0,273441.0,6582.0,191553.0,5599.0,47901.0,3063.0,33987.0,1929.0,20895.0,1632.0,Maryland,Allegany County,73177.0,898.0,63828.0,1033.0,9349.0,948.0,5753.0,725.0,1821.0,487.0,1775.0,460.0,,,15.0,25.0,Broward,Allegany,12_011,24_001,outflow_09_13_Maryland.csv
12,097,24,001,Florida,Osceola County,275739.0,579.0,235429.0,3296.0,37019.0,3159.0,20518.0,2196.0,10225.0,1401.0,6276.0,1321.0,3291.0,859.0,Maryland,Allegany County,73177.0,898.0,63828.0,1033.0,9349.0,948.0,5753.0,725.0,1821.0,487.0,1775.0,460.0,,,7.0,15.0,Osceola,Allegany,12_097,24_001,outflow_09_13_Maryland.csv
12,103,24,001,Florida,Pinellas County,912042.0,558.0,769261.0,4304.0,137343.0,4302.0,90400.0,3484.0,21414.0,1718.0,25529.0,1930.0,5438.0,731.0,Maryland,Allegany County,73177.0,898.0,63828.0,1033.0,9349.0,948.0,5753.0,725.0,1821.0,487.0,1775.0,460.0,,,4.0,9.0,Pinellas,Allegany,12_103,24_001,outflow_09_13_Maryland.csv
13,223,24,001,Georgia,Paulding County,142267.0,282.0,123759.0,1715.0,18293.0,1698.0,8178.0,1420.0,7510.0,1164.0,2605.0,971.0,215.0,164.0,Maryland,Allegany County,73177.0,898.0,63828.0,1033.0,9349.0,948.0,5753.0,725.0,1821.0,487.0,1775.0,460.0,,,21.0,34.0,Paulding,Allegany,13_223,24_001,outflow_09_13_Maryland.csv
18,163,24,001,Indiana,Vanderburgh County,178021.0,333.0,149873.0,1602.0,27893.0,1599.0,18536.0,1299.0,5489.0,688.0,3868.0,666.0,255.0,114.0,Maryland,Allegany County,73177.0,898.0,63828.0,1033.0,9349.0,948.0,5753.0,725.0,1821.0,487.0,1775.0,460.0,,,16.0,23.0,Vanderburgh,Allegany,18_163,24_001,outflow_09_13_Maryland.csv
21,001,24,001,Kentucky,Adair County,18562.0,52.0,16413.0,440.0,2141.0,440.0,1079.0,336.0,843.0,258.0,219.0,125.0,8.0,13.0,Maryland,Allegany County,73177.0,898.0,63828.0,1033.0,9349.0,948.0,5753.0,725.0,1821.0,487.0,1775.0,460.0,,,18.0,28.0,Adair,Allegany,21_001,24_001,outflow_09_13_Maryland.csv
