origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
01,069,28,001,Alabama,Houston County,101010.0,124.0,87129.0,731.0,13660.0,706.0,8179.0,570.0,2622.0,412.0,2859.0,357.0,221.0,106.0,Mississippi,Adams County,32298.0,525.0,29045.0,564.0,3253.0,682.0,1646.0,494.0,1091.0,386.0,516.0,158.0,,,4.0,8.0,Houston,Adams,01_069,28_001,outflow_09_13_Mississippi.csv,2009,2013
05,119,28,001,Arkansas,Pulaski County,381265.0,473.0,317476.0,2615.0,62321.0,2522.0,42115.0,2511.0,10303.0,1114.0,9903.0,1343.0,1468.0,398.0,Mississippi,Adams County,32298.0,525.0,29045.0,564.0,3253.0,682.0,1646.0,494.0,1091.0,386.0,516.0,158.0,,,24.0,39.0,Pulaski,Adams,05_119,28_001,outflow_09_13_Mississippi.csv,2009,2013
05,139,28,001,Arkansas,Union County,40942.0,131.0,35268.0,682.0,5660.0,663.0,4168.0,590.0,724.0,260.0,768.0,212.0,14.0,21.0,Mississippi,Adams County,32298.0,525.0,29045.0,564.0,3253.0,682.0,1646.0,494.0,1091.0,386.0,516.0,158.0,,,1.0,2.0,Union,Adams,05_139,28_001,outflow_09_13_Mississippi.csv,2009,2013
09,011,28,001,Connecticut,New London County,271492.0,290.0,231363.0,1929.0,38691.0,1898.0,21642.0,1617.0,6264.0,723.0,10785.0,1095.0,1438.0,359.0,Mississippi,Adams County,32298.0,525.0,29045.0,564.0,3253.0,682.0,1646.0,494.0,1091.0,386.0,516.0,158.0,,,9.0,20.0,New London,Adams,09_011,28_001,outflow_09_13_Mississippi.csv,2009,2013
12,086,28,001,Florida,Miami-Dade County,2520806.0,951.0,2190789.0,7513.0,291826.0,6945.0,233242.0,6259.0,28869.0,1855.0,29715.0,2013.0,38191.0,2497.0,Mississippi,Adams County,32298.0,525.0,29045.0,564.0,3253.0,682.0,1646.0,494.0,1091.0,386.0,516.0,158.0,,,15.0,23.0,Miami-Dade,Adams,12_086,28_001,outflow_09_13_Mississippi.csv,2009,2013
22,015,28,001,Louisiana,Bossier Parish,118047.0,314.0,98329.0,1780.0,19320.0,1721.0,8273.0,1154.0,5963.0,1012.0,5084.0,791.0,398.0,218.0,Mississippi,Adams County,32298.0,525.0,29045.0,564.0,3253.0,682.0,1646.0,494.0,1091.0,386.0,516.0,158.0,,,58.0,71.0,Bossier Parish,Adams,22_015,28_001,outflow_09_13_Mississippi.csv,2009,2013
22,025,28,001,Louisiana,Catahoula Parish,10268.0,30.0,8646.0,350.0,1620.0,353.0,496.0,217.0,1002.0,273.0,122.0,116.0,2.0,3.0,Mississippi,Adams County,32298.0,525.0,29045.0,564.0,3253.0,682.0,1646.0,494.0,1091.0,386.0,516.0,158.0,,,2.0,4.0,Catahoula Parish,Adams,22_025,28_001,outflow_09_13_Mississippi.csv,2009,2013
22,029,28,001,Louisiana,Concordia Parish,20485.0,76.0,16557.0,622.0,3894.0,614.0,2522.0,499.0,924.0,290.0,448.0,242.0,34.0,32.0,Mississippi,Adams County,32298.0,525.0,29045.0,564.0,3253.0,682.0,1646.0,494.0,1091.0,386.0,516.0,158.0,,,75.0,54.0,Concordia Parish,Adams,22_029,28_001,outflow_09_13_Mississippi.csv,2009,2013
22,033,28,001,Louisiana,East Baton Rouge Parish,436147.0,541.0,365077.0,2833.0,69213.0,2870.0,48161.0,2618.0,12125.0,1355.0,8927.0,868.0,1857.0,449.0,Mississippi,Adams County,32298.0,525.0,29045.0,564.0,3253.0,682.0,1646.0,494.0,1091.0,386.0,516.0,158.0,,,21.0,29.0,East Baton Rouge Parish,Adams,22_033,28_001,outflow_09_13_Mississippi.csv,2009,2013
22,041,28,001,Louisiana,Franklin Parish,20433.0,89.0,17272.0,733.0,3148.0,738.0,1600.0,394.0,1181.0,426.0,367.0,289.0,13.0,16.0,Mississippi,Adams County,32298.0,525.0,29045.0,564.0,3253.0,682.0,1646.0,494.0,1091.0,386.0,516.0,158.0,,,9.0,14.0,Franklin Parish,Adams,22_041,28_001,outflow_09_13_Mississippi.csv,2009,2013
22,051,28,001,Louisiana,Jefferson Parish,428591.0,538.0,373368.0,2417.0,53126.0,2401.0,32432.0,2093.0,12681.0,1281.0,8013.0,967.0,2097.0,540.0,Mississippi,Adams County,32298.0,525.0,29045.0,564.0,3253.0,682.0,1646.0,494.0,1091.0,386.0,516.0,158.0,,,50.0,67.0,Jefferson Parish,Adams,22_051,28_001,outflow_09_13_Mississippi.csv,2009,2013
22,055,28,001,Louisiana,Lafayette Parish,221772.0,439.0,187766.0,2125.0,33323.0,2184.0,21114.0,1770.0,7975.0,1150.0,4234.0,806.0,683.0,206.0,Mississippi,Adams County,32298.0,525.0,29045.0,564.0,3253.0,682.0,1646.0,494.0,1091.0,386.0,516.0,158.0,,,18.0,29.0,Lafayette Parish,Adams,22_055,28_001,outflow_09_13_Mississippi.csv,2009,2013
22,059,28,001,Louisiana,La Salle Parish,14660.0,95.0,12620.0,421.0,1982.0,409.0,961.0,346.0,621.0,184.0,400.0,168.0,58.0,52.0,Mississippi,Adams County,32298.0,525.0,29045.0,564.0,3253.0,682.0,1646.0,494.0,1091.0,386.0,516.0,158.0,,,19.0,21.0,La Salle Parish,Adams,22_059,28_001,outflow_09_13_Mississippi.csv,2009,2013
