origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
01,051,32,001,Alabama,Elmore County,79256.0,157.0,67686.0,1321.0,11361.0,1320.0,4161.0,727.0,5937.0,924.0,1263.0,353.0,209.0,127.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,44.0,57.0,Elmore,Churchill,01_051,32_001,outflow_09_13_Nevada.csv,2009,2013
02,013,32,001,Alaska,Aleutians East Borough,3123.0,32.0,2416.0,159.0,684.0,163.0,101.0,43.0,88.0,36.0,495.0,146.0,23.0,19.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,6.0,13.0,Aleutians East Borough,Churchill,02_013,32_001,outflow_09_13_Nevada.csv,2009,2013
02,016,32,001,Alaska,Aleutians West Census Area,5487.0,16.0,4474.0,150.0,933.0,144.0,314.0,88.0,103.0,76.0,516.0,126.0,80.0,44.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,2.0,5.0,Aleutians West Census Area,Churchill,02_016,32_001,outflow_09_13_Nevada.csv,2009,2013
02,195,32,001,Alaska,Petersburg Census Area,3706.0,42.0,3203.0,128.0,492.0,119.0,264.0,95.0,84.0,37.0,144.0,85.0,11.0,23.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,5.0,7.0,Petersburg Census Area,Churchill,02_195,32_001,outflow_09_13_Nevada.csv,2009,2013
04,001,32,001,Arizona,Apache County,70855.0,148.0,64964.0,807.0,5702.0,854.0,2461.0,591.0,1938.0,534.0,1303.0,300.0,189.0,106.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,10.0,16.0,Apache,Churchill,04_001,32_001,outflow_09_13_Nevada.csv,2009,2013
04,013,32,001,Arizona,Maricopa County,3835677.0,1696.0,3067321.0,12603.0,743278.0,12614.0,574235.0,11769.0,39795.0,2829.0,129248.0,4343.0,25078.0,2110.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,92.0,99.0,Maricopa,Churchill,04_013,32_001,outflow_09_13_Nevada.csv,2009,2013
06,013,32,001,California,Contra Costa County,1054696.0,623.0,899929.0,5047.0,147792.0,5196.0,99408.0,3970.0,38086.0,2558.0,10298.0,1021.0,6975.0,940.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,25.0,43.0,Contra Costa,Churchill,06_013,32_001,outflow_09_13_Nevada.csv,2009,2013
06,017,32,001,California,El Dorado County,179456.0,225.0,153408.0,1966.0,25573.0,1874.0,16366.0,1599.0,6955.0,798.0,2252.0,492.0,475.0,218.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,21.0,33.0,El Dorado,Churchill,06_017,32_001,outflow_09_13_Nevada.csv,2009,2013
06,035,32,001,California,Lassen County,33655.0,110.0,23943.0,694.0,9628.0,681.0,3297.0,531.0,5747.0,568.0,584.0,174.0,84.0,60.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,4.0,7.0,Lassen,Churchill,06_035,32_001,outflow_09_13_Nevada.csv,2009,2013
06,037,32,001,California,Los Angeles County,9777020.0,2063.0,8451700.0,14171.0,1258734.0,13557.0,1043118.0,12522.0,121153.0,3737.0,94463.0,3659.0,66586.0,2476.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,15.0,23.0,Los Angeles,Churchill,06_037,32_001,outflow_09_13_Nevada.csv,2009,2013
06,073,32,001,California,San Diego County,3098462.0,1290.0,2599071.0,7556.0,466548.0,7360.0,345496.0,6455.0,50075.0,2131.0,70977.0,3187.0,32843.0,2123.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,21.0,38.0,San Diego,Churchill,06_073,32_001,outflow_09_13_Nevada.csv,2009,2013
16,067,32,001,Idaho,Minidoka County,19843.0,90.0,17201.0,458.0,2521.0,460.0,1340.0,368.0,721.0,280.0,460.0,171.0,121.0,114.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,34.0,52.0,Minidoka,Churchill,16_067,32_001,outflow_09_13_Nevada.csv,2009,2013
16,087,32,001,Idaho,Washington County,10021.0,34.0,8698.0,299.0,1303.0,304.0,800.0,285.0,267.0,116.0,236.0,141.0,20.0,28.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,31.0,47.0,Washington,Churchill,16_087,32_001,outflow_09_13_Nevada.csv,2009,2013
28,047,32,001,Mississippi,Harrison County,188498.0,337.0,149075.0,2113.0,38170.0,2058.0,21215.0,1685.0,5843.0,989.0,11112.0,1218.0,1253.0,371.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,5.0,10.0,Harrison,Churchill,28_047,32_001,outflow_09_13_Nevada.csv,2009,2013
29,051,32,001,Missouri,Cole County,75290.0,157.0,62972.0,1079.0,12166.0,1097.0,6230.0,799.0,4855.0,719.0,1081.0,388.0,152.0,96.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,54.0,87.0,Cole,Churchill,29_051,32_001,outflow_09_13_Nevada.csv,2009,2013
30,001,32,001,Montana,Beaverhead County,9206.0,33.0,7459.0,262.0,1738.0,259.0,733.0,194.0,559.0,158.0,446.0,138.0,9.0,14.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,12.0,18.0,Beaverhead,Churchill,30_001,32_001,outflow_09_13_Nevada.csv,2009,2013
30,083,32,001,Montana,Richland County,10162.0,49.0,8409.0,362.0,1742.0,353.0,703.0,288.0,438.0,195.0,601.0,311.0,11.0,17.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,31.0,46.0,Richland,Churchill,30_083,32_001,outflow_09_13_Nevada.csv,2009,2013
32,003,32,001,Nevada,Clark County,1951257.0,1160.0,1498081.0,7448.0,440338.0,7384.0,351610.0,6624.0,4676.0,709.0,84052.0,3368.0,12838.0,1167.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,184.0,115.0,Clark,Churchill,32_003,32_001,outflow_09_13_Nevada.csv,2009,2013
32,005,32,001,Nevada,Douglas County,46675.0,105.0,40159.0,863.0,6450.0,850.0,3676.0,679.0,1074.0,360.0,1700.0,455.0,66.0,57.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,72.0,58.0,Douglas,Churchill,32_005,32_001,outflow_09_13_Nevada.csv,2009,2013
32,007,32,001,Nevada,Elko County,49144.0,229.0,42243.0,825.0,6851.0,796.0,3896.0,719.0,674.0,197.0,2281.0,515.0,50.0,81.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,12.0,15.0,Elko,Churchill,32_007,32_001,outflow_09_13_Nevada.csv,2009,2013
32,013,32,001,Nevada,Humboldt County,16591.0,76.0,13650.0,567.0,2786.0,596.0,1198.0,407.0,671.0,313.0,917.0,309.0,155.0,145.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,60.0,61.0,Humboldt,Churchill,32_013,32_001,outflow_09_13_Nevada.csv,2009,2013
32,015,32,001,Nevada,Lander County,5781.0,48.0,4696.0,307.0,1085.0,321.0,680.0,288.0,110.0,63.0,295.0,193.0,,,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,3.0,5.0,Lander,Churchill,32_015,32_001,outflow_09_13_Nevada.csv,2009,2013
32,019,32,001,Nevada,Lyon County,51017.0,166.0,41491.0,1214.0,9453.0,1179.0,4279.0,777.0,3153.0,765.0,2021.0,593.0,73.0,53.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,611.0,414.0,Lyon,Churchill,32_019,32_001,outflow_09_13_Nevada.csv,2009,2013
32,021,32,001,Nevada,Mineral County,4619.0,50.0,3781.0,321.0,836.0,301.0,408.0,187.0,248.0,149.0,180.0,90.0,2.0,4.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,8.0,11.0,Mineral,Churchill,32_021,32_001,outflow_09_13_Nevada.csv,2009,2013
32,023,32,001,Nevada,Nye County,43014.0,116.0,35412.0,1112.0,7538.0,1123.0,3915.0,849.0,2095.0,487.0,1528.0,447.0,64.0,75.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,195.0,214.0,Nye,Churchill,32_023,32_001,outflow_09_13_Nevada.csv,2009,2013
32,027,32,001,Nevada,Pershing County,6678.0,38.0,5179.0,304.0,1493.0,290.0,251.0,146.0,940.0,222.0,302.0,170.0,6.0,9.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,32.0,44.0,Pershing,Churchill,32_027,32_001,outflow_09_13_Nevada.csv,2009,2013
32,031,32,001,Nevada,Washoe County,420617.0,423.0,329402.0,3261.0,88992.0,3344.0,65110.0,3140.0,6866.0,926.0,17016.0,1351.0,2223.0,566.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,634.0,317.0,Washoe,Churchill,32_031,32_001,outflow_09_13_Nevada.csv,2009,2013
32,033,32,001,Nevada,White Pine County,9906.0,72.0,8223.0,340.0,1678.0,334.0,991.0,276.0,383.0,113.0,304.0,146.0,5.0,8.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,3.0,6.0,White Pine,Churchill,32_033,32_001,outflow_09_13_Nevada.csv,2009,2013
32,510,32,001,Nevada,Carson City,54335.0,134.0,42996.0,1117.0,11289.0,1119.0,5913.0,865.0,3541.0,638.0,1835.0,480.0,50.0,47.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,88.0,86.0,Carson City,Churchill,32_510,32_001,outflow_09_13_Nevada.csv,2009,2013
48,029,32,001,Texas,Bexar County,1728176.0,1136.0,1398795.0,6662.0,316421.0,6279.0,229413.0,5808.0,44536.0,2749.0,42472.0,2714.0,12960.0,1276.0,Nevada,Churchill County,24404.0,691.0,18751.0,814.0,5653.0,870.0,2923.0,691.0,1902.0,554.0,828.0,241.0,,,12.0,20.0,Bexar,Churchill,48_029,32_001,outflow_09_13_Nevada.csv,2009,2013
