origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
06,071,49,001,California,San Bernardino County,2028423.0,1098.0,1678315.0,8109.0,339904.0,8116.0,229746.0,7623.0,84492.0,4069.0,25666.0,1955.0,10204.0,1039.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,39.0,63.0,San Bernardino,Beaver,06_071,49_001,outflow_09_13_Utah.csv
16,005,49,001,Idaho,Bannock County,81952.0,182.0,66070.0,1335.0,15455.0,1359.0,9486.0,1038.0,3616.0,651.0,2353.0,486.0,427.0,166.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,52.0,56.0,Bannock,Beaver,16_005,49_001,outflow_09_13_Utah.csv
16,051,49,001,Idaho,Jefferson County,26005.0,110.0,22561.0,644.0,3261.0,653.0,1360.0,394.0,1511.0,419.0,390.0,176.0,183.0,114.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,28.0,47.0,Jefferson,Beaver,16_051,49_001,outflow_09_13_Utah.csv
32,003,49,001,Nevada,Clark County,1951257.0,1160.0,1498081.0,7448.0,440338.0,7384.0,351610.0,6624.0,4676.0,709.0,84052.0,3368.0,12838.0,1167.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,19.0,32.0,Clark,Beaver,32_003,49_001,outflow_09_13_Utah.csv
32,023,49,001,Nevada,Nye County,43014.0,116.0,35412.0,1112.0,7538.0,1123.0,3915.0,849.0,2095.0,487.0,1528.0,447.0,64.0,75.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,1.0,3.0,Nye,Beaver,32_023,49_001,outflow_09_13_Utah.csv
32,033,49,001,Nevada,White Pine County,9906.0,72.0,8223.0,340.0,1678.0,334.0,991.0,276.0,383.0,113.0,304.0,146.0,5.0,8.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,1.0,2.0,White Pine,Beaver,32_033,49_001,outflow_09_13_Utah.csv
49,003,49,001,Utah,Box Elder County,49297.0,186.0,43409.0,682.0,5773.0,659.0,3216.0,527.0,1439.0,236.0,1118.0,360.0,115.0,61.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,18.0,26.0,Box Elder,Beaver,49_003,49_001,outflow_09_13_Utah.csv
49,005,49,001,Utah,Cache County,112112.0,213.0,87775.0,1291.0,23201.0,1290.0,13406.0,1122.0,5573.0,659.0,4222.0,707.0,1136.0,284.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,10.0,15.0,Cache,Beaver,49_005,49_001,outflow_09_13_Utah.csv
49,009,49,001,Utah,Daggett County,812.0,113.0,691.0,114.0,115.0,57.0,39.0,28.0,61.0,60.0,15.0,16.0,6.0,8.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,7.0,14.0,Daggett,Beaver,49_009,49_001,outflow_09_13_Utah.csv
49,011,49,001,Utah,Davis County,306144.0,450.0,263733.0,2623.0,40908.0,2465.0,20298.0,1857.0,12554.0,1205.0,8056.0,1033.0,1503.0,412.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,26.0,33.0,Davis,Beaver,49_011,49_001,outflow_09_13_Utah.csv
49,013,49,001,Utah,Duchesne County,18674.0,87.0,16117.0,297.0,2536.0,279.0,1603.0,269.0,589.0,177.0,344.0,137.0,21.0,18.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,31.0,39.0,Duchesne,Beaver,49_013,49_001,outflow_09_13_Utah.csv
49,017,49,001,Utah,Garfield County,5073.0,27.0,4518.0,141.0,545.0,136.0,157.0,79.0,225.0,103.0,163.0,63.0,10.0,9.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,6.0,11.0,Garfield,Beaver,49_017,49_001,outflow_09_13_Utah.csv
49,021,49,001,Utah,Iron County,45465.0,176.0,38254.0,953.0,7000.0,960.0,4069.0,807.0,1862.0,373.0,1069.0,269.0,211.0,100.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,36.0,35.0,Iron,Beaver,49_021,49_001,outflow_09_13_Utah.csv
49,027,49,001,Utah,Millard County,12330.0,58.0,10727.0,318.0,1570.0,312.0,789.0,200.0,458.0,168.0,323.0,153.0,33.0,37.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,26.0,24.0,Millard,Beaver,49_027,49_001,outflow_09_13_Utah.csv
49,031,49,001,Utah,Piute County,1775.0,116.0,1652.0,126.0,123.0,51.0,41.0,28.0,48.0,40.0,34.0,31.0,,,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,17.0,24.0,Piute,Beaver,49_031,49_001,outflow_09_13_Utah.csv
49,035,49,001,Utah,Salt Lake County,1031217.0,736.0,856168.0,4495.0,168055.0,4144.0,119051.0,4108.0,20528.0,1508.0,28476.0,1629.0,6994.0,899.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,138.0,82.0,Salt Lake,Beaver,49_035,49_001,outflow_09_13_Utah.csv
49,037,49,001,Utah,San Juan County,14563.0,71.0,13499.0,232.0,988.0,218.0,343.0,146.0,299.0,135.0,346.0,136.0,76.0,43.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,5.0,12.0,San Juan,Beaver,49_037,49_001,outflow_09_13_Utah.csv
49,039,49,001,Utah,Sanpete County,27509.0,91.0,22043.0,526.0,5459.0,494.0,2199.0,375.0,2590.0,405.0,670.0,256.0,7.0,8.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,85.0,109.0,Sanpete,Beaver,49_039,49_001,outflow_09_13_Utah.csv
49,041,49,001,Utah,Sevier County,20501.0,72.0,17503.0,446.0,2969.0,444.0,1620.0,414.0,1012.0,272.0,337.0,141.0,29.0,27.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,19.0,21.0,Sevier,Beaver,49_041,49_001,outflow_09_13_Utah.csv
49,045,49,001,Utah,Tooele County,58197.0,162.0,49467.0,1023.0,8580.0,1048.0,4051.0,829.0,2876.0,708.0,1653.0,499.0,150.0,84.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,23.0,22.0,Tooele,Beaver,49_045,49_001,outflow_09_13_Utah.csv
49,049,49,001,Utah,Utah County,518127.0,509.0,404704.0,3025.0,107792.0,3104.0,67812.0,2979.0,16353.0,1462.0,23627.0,1602.0,5631.0,733.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,254.0,337.0,Utah,Beaver,49_049,49_001,outflow_09_13_Utah.csv
49,051,49,001,Utah,Wasatch County,24135.0,131.0,20857.0,627.0,3189.0,607.0,1521.0,491.0,902.0,317.0,766.0,357.0,89.0,65.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,11.0,22.0,Wasatch,Beaver,49_051,49_001,outflow_09_13_Utah.csv
49,053,49,001,Utah,Washington County,139739.0,277.0,114091.0,1947.0,24917.0,1920.0,15123.0,1577.0,3959.0,962.0,5835.0,1082.0,731.0,241.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,37.0,39.0,Washington,Beaver,49_053,49_001,outflow_09_13_Utah.csv
49,057,49,001,Utah,Weber County,229828.0,431.0,194668.0,2114.0,34267.0,2088.0,21713.0,1920.0,8373.0,1012.0,4181.0,586.0,893.0,295.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,49.0,38.0,Weber,Beaver,49_057,49_001,outflow_09_13_Utah.csv
56,003,49,001,Wyoming,Big Horn County,11645.0,33.0,10215.0,268.0,1403.0,267.0,539.0,168.0,390.0,147.0,474.0,140.0,27.0,26.0,Utah,Beaver County,6798.0,403.0,5541.0,269.0,1257.0,451.0,305.0,176.0,798.0,368.0,154.0,105.0,,,14.0,31.0,Big Horn,Beaver,56_003,49_001,outflow_09_13_Utah.csv
01,089,49,003,Alabama,Madison County,335095.0,452.0,283745.0,2430.0,49789.0,2499.0,32321.0,2170.0,6577.0,861.0,10891.0,1149.0,1561.0,377.0,Utah,Box Elder County,49320.0,703.0,43409.0,682.0,5911.0,774.0,3216.0,527.0,1793.0,435.0,902.0,314.0,,,13.0,21.0,Madison,Box Elder,01_089,49_003,outflow_09_13_Utah.csv
04,013,49,003,Arizona,Maricopa County,3835677.0,1696.0,3067321.0,12603.0,743278.0,12614.0,574235.0,11769.0,39795.0,2829.0,129248.0,4343.0,25078.0,2110.0,Utah,Box Elder County,49320.0,703.0,43409.0,682.0,5911.0,774.0,3216.0,527.0,1793.0,435.0,902.0,314.0,,,14.0,17.0,Maricopa,Box Elder,04_013,49_003,outflow_09_13_Utah.csv
06,019,49,003,California,Fresno County,926307.0,802.0,774094.0,5222.0,148370.0,5024.0,120546.0,4682.0,21475.0,1769.0,6349.0,779.0,3843.0,652.0,Utah,Box Elder County,49320.0,703.0,43409.0,682.0,5911.0,774.0,3216.0,527.0,1793.0,435.0,902.0,314.0,,,15.0,21.0,Fresno,Box Elder,06_019,49_003,outflow_09_13_Utah.csv
06,059,49,003,California,Orange County,3016966.0,1372.0,2560409.0,9004.0,435336.0,8668.0,321416.0,7724.0,81847.0,3446.0,32073.0,1620.0,21221.0,1635.0,Utah,Box Elder County,49320.0,703.0,43409.0,682.0,5911.0,774.0,3216.0,527.0,1793.0,435.0,902.0,314.0,,,39.0,62.0,Orange,Box Elder,06_059,49_003,outflow_09_13_Utah.csv
06,065,49,003,California,Riverside County,2199714.0,1075.0,1820489.0,8091.0,367304.0,7672.0,247528.0,6252.0,92892.0,4406.0,26884.0,2005.0,11921.0,1203.0,Utah,Box Elder County,49320.0,703.0,43409.0,682.0,5911.0,774.0,3216.0,527.0,1793.0,435.0,902.0,314.0,,,15.0,23.0,Riverside,Box Elder,06_065,49_003,outflow_09_13_Utah.csv
