origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
001,003,008,001,Alabama,Baldwin County,201089.0,448.0,177677.0,1809.0,22879.0,1749.0,12379.0,1366.0,4286.0,903.0,6214.0,825.0,533.0,307.0,Colorado,Adams County,479301.0,3214.0,408136.0,2797.0,71165.0,3498.0,34076.0,2212.0,27499.0,1988.0,9590.0,1305.0,,,32.0,75.0,Baldwin,Adams,outflow_13_17_Colorado.csv
001,051,008,001,Alabama,Elmore County,80090.0,242.0,68797.0,1430.0,11036.0,1398.0,4167.0,943.0,5659.0,690.0,1210.0,459.0,257.0,153.0,Colorado,Adams County,479301.0,3214.0,408136.0,2797.0,71165.0,3498.0,34076.0,2212.0,27499.0,1988.0,9590.0,1305.0,,,14.0,19.0,Elmore,Adams,outflow_13_17_Colorado.csv
001,055,008,001,Alabama,Etowah County,102197.0,184.0,86489.0,1461.0,15406.0,1434.0,10488.0,1284.0,3186.0,578.0,1732.0,453.0,302.0,131.0,Colorado,Adams County,479301.0,3214.0,408136.0,2797.0,71165.0,3498.0,34076.0,2212.0,27499.0,1988.0,9590.0,1305.0,,,10.0,16.0,Etowah,Adams,outflow_13_17_Colorado.csv
001,083,008,001,Alabama,Limestone County,90659.0,250.0,79657.0,1190.0,10925.0,1152.0,4856.0,824.0,4160.0,774.0,1909.0,531.0,77.0,62.0,Colorado,Adams County,479301.0,3214.0,408136.0,2797.0,71165.0,3498.0,34076.0,2212.0,27499.0,1988.0,9590.0,1305.0,,,6.0,11.0,Limestone,Adams,outflow_13_17_Colorado.csv
001,089,008,001,Alabama,Madison County,349262.0,434.0,294105.0,2492.0,53411.0,2454.0,35191.0,2084.0,8080.0,867.0,10140.0,1021.0,1746.0,477.0,Colorado,Adams County,479301.0,3214.0,408136.0,2797.0,71165.0,3498.0,34076.0,2212.0,27499.0,1988.0,9590.0,1305.0,,,14.0,23.0,Madison,Adams,outflow_13_17_Colorado.csv
001,117,008,001,Alabama,Shelby County,206264.0,325.0,178584.0,2053.0,27239.0,1992.0,12576.0,1539.0,9125.0,897.0,5538.0,891.0,441.0,176.0,Colorado,Adams County,479301.0,3214.0,408136.0,2797.0,71165.0,3498.0,34076.0,2212.0,27499.0,1988.0,9590.0,1305.0,,,5.0,9.0,Shelby,Adams,outflow_13_17_Colorado.csv
002,020,008,001,Alaska,Anchorage Municipality,294072.0,458.0,235360.0,2908.0,55824.0,2846.0,37387.0,2563.0,5503.0,1026.0,12934.0,1064.0,2888.0,604.0,Colorado,Adams County,479301.0,3214.0,408136.0,2797.0,71165.0,3498.0,34076.0,2212.0,27499.0,1988.0,9590.0,1305.0,,,7.0,13.0,Anchorage Municipality,Adams,outflow_13_17_Colorado.csv
002,122,008,001,Alaska,Kenai Peninsula Borough,57391.0,134.0,47233.0,801.0,9948.0,822.0,6209.0,812.0,1740.0,295.0,1999.0,429.0,210.0,120.0,Colorado,Adams County,479301.0,3214.0,408136.0,2797.0,71165.0,3498.0,34076.0,2212.0,27499.0,1988.0,9590.0,1305.0,,,76.0,118.0,Kenai Peninsula Borough,Adams,outflow_13_17_Colorado.csv
002,170,008,001,Alaska,Matanuska-Susitna Borough,99815.0,164.0,83775.0,847.0,15682.0,855.0,8717.0,672.0,3992.0,442.0,2973.0,440.0,358.0,137.0,Colorado,Adams County,479301.0,3214.0,408136.0,2797.0,71165.0,3498.0,34076.0,2212.0,27499.0,1988.0,9590.0,1305.0,,,17.0,23.0,Matanuska-Susitna Borough,Adams,outflow_13_17_Colorado.csv
002,188,008,001,Alaska,Northwest Arctic Borough,7555.0,21.0,6537.0,166.0,1011.0,167.0,693.0,131.0,123.0,38.0,195.0,94.0,7.0,12.0,Colorado,Adams County,479301.0,3214.0,408136.0,2797.0,71165.0,3498.0,34076.0,2212.0,27499.0,1988.0,9590.0,1305.0,,,3.0,5.0,Northwest Arctic Borough,Adams,outflow_13_17_Colorado.csv
