origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
04,019,17,001,Arizona,Pima County,995337.0,607.0,786820.0,5633.0,199843.0,5325.0,146232.0,4790.0,17304.0,1278.0,36307.0,1838.0,8674.0,956.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,16.0,24.0,Pima,Adams,04_019,17_001,outflow_13_17_Illinois.csv
04,021,17,001,Arizona,Pinal County,400836.0,419.0,323233.0,3519.0,73945.0,3551.0,32432.0,2807.0,22963.0,1666.0,18550.0,1925.0,3658.0,524.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,13.0,19.0,Pinal,Adams,04_021,17_001,outflow_13_17_Illinois.csv
05,085,17,001,Arkansas,Lonoke County,70552.0,217.0,60740.0,1266.0,9277.0,1217.0,4636.0,900.0,3090.0,578.0,1551.0,632.0,535.0,244.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,31.0,46.0,Lonoke,Adams,05_085,17_001,outflow_13_17_Illinois.csv
06,037,17,001,California,Los Angeles County,9988370.0,2053.0,8849567.0,12645.0,1062322.0,12145.0,851215.0,11114.0,110785.0,2870.0,100322.0,3419.0,76481.0,2672.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,91.0,82.0,Los Angeles,Adams,06_037,17_001,outflow_13_17_Illinois.csv
06,065,17,001,California,Riverside County,2326559.0,1284.0,1997914.0,6672.0,316390.0,6894.0,201620.0,5423.0,88487.0,3819.0,26283.0,2058.0,12255.0,1366.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,6.0,9.0,Riverside,Adams,06_065,17_001,outflow_13_17_Illinois.csv
08,101,17,001,Colorado,Pueblo County,161724.0,249.0,133733.0,1747.0,27580.0,1809.0,18688.0,1566.0,4881.0,791.0,4011.0,576.0,411.0,161.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,53.0,62.0,Pueblo,Adams,08_101,17_001,outflow_13_17_Illinois.csv
08,123,17,001,Colorado,Weld County,281704.0,403.0,231448.0,2285.0,49234.0,2248.0,24387.0,1677.0,16655.0,1164.0,8192.0,938.0,1022.0,339.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,19.0,29.0,Weld,Adams,08_123,17_001,outflow_13_17_Illinois.csv
12,009,17,001,Florida,Brevard County,563261.0,558.0,480913.0,3863.0,79253.0,3865.0,47130.0,3432.0,12015.0,1216.0,20108.0,1603.0,3095.0,525.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,55.0,101.0,Brevard,Adams,12_009,17_001,outflow_13_17_Illinois.csv
12,033,17,001,Florida,Escambia County,306038.0,597.0,250839.0,2528.0,53746.0,2454.0,27400.0,1979.0,8339.0,1003.0,18007.0,1181.0,1453.0,359.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,9.0,17.0,Escambia,Adams,12_033,17_001,outflow_13_17_Illinois.csv
12,099,17,001,Florida,Palm Beach County,1412446.0,926.0,1193610.0,4663.0,202003.0,4613.0,132445.0,4318.0,32404.0,1797.0,37154.0,2363.0,16833.0,1441.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,69.0,88.0,Palm Beach,Adams,12_099,17_001,outflow_13_17_Illinois.csv
12,115,17,001,Florida,Sarasota County,402138.0,455.0,340867.0,2828.0,58373.0,2671.0,31854.0,2208.0,11275.0,1470.0,15244.0,1511.0,2898.0,517.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,19.0,31.0,Sarasota,Adams,12_115,17_001,outflow_13_17_Illinois.csv
13,047,17,001,Georgia,Catoosa County,65275.0,156.0,57995.0,937.0,7262.0,914.0,3316.0,679.0,1753.0,495.0,2193.0,523.0,18.0,24.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,9.0,13.0,Catoosa,Adams,13_047,17_001,outflow_13_17_Illinois.csv
13,083,17,001,Georgia,Dade County,16136.0,82.0,14329.0,345.0,1725.0,362.0,414.0,161.0,397.0,148.0,914.0,301.0,82.0,74.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,5.0,12.0,Dade,Adams,13_083,17_001,outflow_13_17_Illinois.csv
13,127,17,001,Georgia,Glynn County,82323.0,268.0,67143.0,1289.0,14962.0,1295.0,9080.0,1178.0,3780.0,841.0,2102.0,459.0,218.0,170.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,10.0,16.0,Glynn,Adams,13_127,17_001,outflow_13_17_Illinois.csv
13,167,17,001,Georgia,Johnson County,9730.0,40.0,8533.0,306.0,1169.0,287.0,426.0,196.0,421.0,134.0,322.0,175.0,28.0,41.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,7.0,12.0,Johnson,Adams,13_167,17_001,outflow_13_17_Illinois.csv
13,175,17,001,Georgia,Laurens County,46721.0,149.0,40729.0,830.0,5927.0,803.0,4034.0,626.0,1013.0,248.0,880.0,379.0,65.0,37.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,15.0,25.0,Laurens,Adams,13_175,17_001,outflow_13_17_Illinois.csv
13,215,17,001,Georgia,Muscogee County,195542.0,360.0,151625.0,1997.0,42290.0,1982.0,21989.0,1497.0,6908.0,981.0,13393.0,1198.0,1627.0,521.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,5.0,7.0,Muscogee,Adams,13_215,17_001,outflow_13_17_Illinois.csv
17,003,17,001,Illinois,Alexander County,6717.0,29.0,6315.0,105.0,391.0,108.0,170.0,56.0,149.0,83.0,72.0,59.0,11.0,15.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,8.0,15.0,Alexander,Adams,17_003,17_001,outflow_13_17_Illinois.csv
17,009,17,001,Illinois,Brown County,6694.0,39.0,5342.0,239.0,1345.0,244.0,286.0,111.0,1027.0,209.0,32.0,26.0,7.0,11.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,85.0,67.0,Brown,Adams,17_009,17_001,outflow_13_17_Illinois.csv
17,011,17,001,Illinois,Bureau County,33196.0,93.0,30123.0,392.0,3052.0,379.0,1780.0,269.0,892.0,226.0,380.0,152.0,21.0,21.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,33.0,26.0,Bureau,Adams,17_011,17_001,outflow_13_17_Illinois.csv
17,019,17,001,Illinois,Champaign County,205628.0,340.0,157328.0,1933.0,44862.0,1891.0,22728.0,1395.0,15456.0,987.0,6678.0,891.0,3438.0,521.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,31.0,29.0,Champaign,Adams,17_019,17_001,outflow_13_17_Illinois.csv
17,021,17,001,Illinois,Christian County,33389.0,79.0,29442.0,602.0,3866.0,579.0,1944.0,427.0,1477.0,252.0,445.0,239.0,81.0,56.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,18.0,17.0,Christian,Adams,17_021,17_001,outflow_13_17_Illinois.csv
17,029,17,001,Illinois,Coles County,52012.0,105.0,38793.0,1257.0,12945.0,1258.0,7138.0,1033.0,4196.0,556.0,1611.0,537.0,274.0,158.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,7.0,13.0,Coles,Adams,17_029,17_001,outflow_13_17_Illinois.csv
17,031,17,001,Illinois,Cook County,5174030.0,1547.0,4489327.0,9175.0,646067.0,9133.0,511224.0,8099.0,51004.0,2208.0,83839.0,2906.0,38636.0,2083.0,Illinois,Adams County,67528.0,673.0,58702.0,777.0,8826.0,826.0,5357.0,755.0,1567.0,303.0,1902.0,498.0,,,192.0,91.0,Cook,Adams,17_031,17_001,outflow_13_17_Illinois.csv
