origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
004,013,018,001,Arizona,Maricopa County,4104987.0,1606.0,3383797.0,9897.0,693913.0,9933.0,512911.0,8522.0,37636.0,2458.0,143366.0,4091.0,27277.0,1776.0,Indiana,Adams County,35030.0,453.0,29804.0,800.0,5226.0,804.0,3110.0,694.0,1645.0,359.0,471.0,193.0,,,41.0,50.0,Maricopa,Adams,outflow_13_17_Indiana.csv
012,009,018,001,Florida,Brevard County,563261.0,558.0,480913.0,3863.0,79253.0,3865.0,47130.0,3432.0,12015.0,1216.0,20108.0,1603.0,3095.0,525.0,Indiana,Adams County,35030.0,453.0,29804.0,800.0,5226.0,804.0,3110.0,694.0,1645.0,359.0,471.0,193.0,,,11.0,17.0,Brevard,Adams,outflow_13_17_Indiana.csv
012,119,018,001,Florida,Sumter County,116133.0,182.0,100367.0,1356.0,15111.0,1279.0,4659.0,746.0,4216.0,623.0,6236.0,850.0,655.0,236.0,Indiana,Adams County,35030.0,453.0,29804.0,800.0,5226.0,804.0,3110.0,694.0,1645.0,359.0,471.0,193.0,,,32.0,49.0,Sumter,Adams,outflow_13_17_Indiana.csv
017,119,018,001,Illinois,Madison County,263255.0,348.0,227260.0,2102.0,35458.0,2063.0,21397.0,1493.0,8911.0,1196.0,5150.0,843.0,537.0,264.0,Indiana,Adams County,35030.0,453.0,29804.0,800.0,5226.0,804.0,3110.0,694.0,1645.0,359.0,471.0,193.0,,,8.0,13.0,Madison,Adams,outflow_13_17_Indiana.csv
018,003,018,001,Indiana,Allen County,362543.0,442.0,306224.0,1952.0,55426.0,1945.0,40712.0,2077.0,6907.0,715.0,7807.0,873.0,893.0,271.0,Indiana,Adams County,35030.0,453.0,29804.0,800.0,5226.0,804.0,3110.0,694.0,1645.0,359.0,471.0,193.0,,,272.0,116.0,Allen,Adams,outflow_13_17_Indiana.csv
018,009,018,001,Indiana,Blackford County,12032.0,61.0,10823.0,262.0,1195.0,255.0,663.0,186.0,394.0,137.0,138.0,88.0,14.0,14.0,Indiana,Adams County,35030.0,453.0,29804.0,800.0,5226.0,804.0,3110.0,694.0,1645.0,359.0,471.0,193.0,,,32.0,28.0,Blackford,Adams,outflow_13_17_Indiana.csv
018,017,018,001,Indiana,Cass County,37815.0,139.0,32608.0,692.0,5071.0,714.0,3417.0,661.0,1466.0,374.0,188.0,80.0,136.0,82.0,Indiana,Adams County,35030.0,453.0,29804.0,800.0,5226.0,804.0,3110.0,694.0,1645.0,359.0,471.0,193.0,,,19.0,18.0,Cass,Adams,outflow_13_17_Indiana.csv
018,023,018,001,Indiana,Clinton County,32007.0,109.0,28072.0,535.0,3899.0,532.0,2465.0,427.0,860.0,259.0,574.0,262.0,36.0,38.0,Indiana,Adams County,35030.0,453.0,29804.0,800.0,5226.0,804.0,3110.0,694.0,1645.0,359.0,471.0,193.0,,,25.0,38.0,Clinton,Adams,outflow_13_17_Indiana.csv
018,031,018,001,Indiana,Decatur County,26377.0,47.0,22706.0,620.0,3647.0,609.0,2308.0,488.0,879.0,371.0,460.0,207.0,24.0,32.0,Indiana,Adams County,35030.0,453.0,29804.0,800.0,5226.0,804.0,3110.0,694.0,1645.0,359.0,471.0,193.0,,,23.0,33.0,Decatur,Adams,outflow_13_17_Indiana.csv
018,035,018,001,Indiana,Delaware County,114787.0,197.0,87929.0,1444.0,26671.0,1449.0,16128.0,1375.0,8456.0,859.0,2087.0,400.0,187.0,93.0,Indiana,Adams County,35030.0,453.0,29804.0,800.0,5226.0,804.0,3110.0,694.0,1645.0,359.0,471.0,193.0,,,104.0,70.0,Delaware,Adams,outflow_13_17_Indiana.csv
