origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
002,016,024,001,Alaska,Aleutians West Census Area,5738.0,11.0,4486.0,137.0,984.0,96.0,453.0,91.0,117.0,30.0,414.0,87.0,268.0,133.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,12.0,9.0,Aleutians West Census Area,Allegany,outflow_13_17_Maryland.csv
006,029,024,001,California,Kern County,866521.0,854.0,728051.0,4949.0,134483.0,4934.0,95480.0,4754.0,29470.0,2298.0,9533.0,1088.0,3987.0,755.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,29.0,34.0,Kern,Allegany,outflow_13_17_Maryland.csv
006,085,024,001,California,Santa Clara County,1888980.0,995.0,1613420.0,5624.0,239430.0,5701.0,159741.0,5091.0,45287.0,2146.0,34402.0,1801.0,36130.0,2020.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,93.0,142.0,Santa Clara,Allegany,outflow_13_17_Maryland.csv
008,031,024,001,Colorado,Denver County,669390.0,556.0,528575.0,2917.0,136425.0,2774.0,62854.0,2608.0,43684.0,2312.0,29887.0,1564.0,4390.0,596.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,7.0,13.0,Denver,Allegany,outflow_13_17_Maryland.csv
010,001,024,001,Delaware,Kent County,171020.0,277.0,145740.0,1648.0,24698.0,1652.0,13947.0,1427.0,3763.0,699.0,6988.0,795.0,582.0,234.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,14.0,25.0,Kent,Allegany,outflow_13_17_Maryland.csv
010,003,024,001,Delaware,New Castle County,549015.0,599.0,475584.0,3076.0,69709.0,3087.0,44496.0,2363.0,3996.0,828.0,21217.0,1753.0,3722.0,561.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,20.0,31.0,New Castle,Allegany,outflow_13_17_Maryland.csv
011,001,024,001,District of Columbia,District of Columbia,662540.0,676.0,530353.0,3189.0,121387.0,3044.0,66665.0,2555.0,,,54722.0,1970.0,10800.0,994.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,41.0,45.0,District of Columbia,Allegany,outflow_13_17_Maryland.csv
012,009,024,001,Florida,Brevard County,563261.0,558.0,480913.0,3863.0,79253.0,3865.0,47130.0,3432.0,12015.0,1216.0,20108.0,1603.0,3095.0,525.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,20.0,24.0,Brevard,Allegany,outflow_13_17_Maryland.csv
012,019,024,001,Florida,Clay County,201424.0,316.0,166602.0,2489.0,34032.0,2502.0,12946.0,1537.0,13439.0,1795.0,7647.0,1444.0,790.0,317.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,12.0,20.0,Clay,Allegany,outflow_13_17_Maryland.csv
013,245,024,001,Georgia,Richmond County,198608.0,441.0,164716.0,2135.0,32833.0,2116.0,18670.0,1762.0,6230.0,770.0,7933.0,990.0,1059.0,299.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,19.0,30.0,Richmond,Allegany,outflow_13_17_Maryland.csv
024,003,024,001,Maryland,Anne Arundel County,558206.0,471.0,481072.0,3011.0,74085.0,2900.0,41588.0,2316.0,14868.0,1468.0,17629.0,1285.0,3049.0,646.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,354.0,205.0,Anne Arundel,Allegany,outflow_13_17_Maryland.csv
024,005,024,001,Maryland,Baltimore County,819717.0,644.0,717721.0,2792.0,95774.0,2681.0,55114.0,2336.0,26356.0,1623.0,14304.0,1118.0,6222.0,1251.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,49.0,33.0,Baltimore,Allegany,outflow_13_17_Maryland.csv
024,009,024,001,Maryland,Calvert County,90163.0,154.0,79790.0,1138.0,9898.0,1126.0,4240.0,672.0,3438.0,601.0,2220.0,481.0,475.0,232.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,20.0,27.0,Calvert,Allegany,outflow_13_17_Maryland.csv
024,011,024,001,Maryland,Caroline County,32519.0,79.0,28426.0,658.0,4078.0,653.0,2293.0,583.0,1438.0,388.0,347.0,142.0,15.0,20.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,52.0,49.0,Caroline,Allegany,outflow_13_17_Maryland.csv
024,013,024,001,Maryland,Carroll County,165806.0,227.0,151846.0,1162.0,13726.0,1129.0,7184.0,1007.0,4564.0,588.0,1978.0,349.0,234.0,106.0,Maryland,Allegany County,71604.0,854.0,60825.0,1013.0,10779.0,1132.0,6861.0,804.0,2135.0,364.0,1783.0,456.0,,,97.0,74.0,Carroll,Allegany,outflow_13_17_Maryland.csv
