origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
05,043,29,001,Arkansas,Drew County,18427.0,106.0,16228.0,578.0,2185.0,579.0,1099.0,381.0,709.0,235.0,377.0,290.0,14.0,23.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,6.0,19.0,Drew,Adair,05_043,29_001,outflow_13_17_Missouri.csv
06,065,29,001,California,Riverside County,2326559.0,1284.0,1997914.0,6672.0,316390.0,6894.0,201620.0,5423.0,88487.0,3819.0,26283.0,2058.0,12255.0,1366.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,11.0,17.0,Riverside,Adair,06_065,29_001,outflow_13_17_Missouri.csv
06,073,29,001,California,San Diego County,3242145.0,1427.0,2732840.0,7503.0,473030.0,7081.0,349972.0,6364.0,47877.0,2479.0,75181.0,3382.0,36275.0,2260.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,9.0,13.0,San Diego,Adair,06_073,29_001,outflow_13_17_Missouri.csv
08,041,29,001,Colorado,El Paso County,665907.0,563.0,516388.0,4310.0,142047.0,4225.0,82533.0,3101.0,14641.0,1564.0,44873.0,2264.0,7472.0,887.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,43.0,68.0,El Paso,Adair,08_041,29_001,outflow_13_17_Missouri.csv
08,123,29,001,Colorado,Weld County,281704.0,403.0,231448.0,2285.0,49234.0,2248.0,24387.0,1677.0,16655.0,1164.0,8192.0,938.0,1022.0,339.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,15.0,23.0,Weld,Adair,08_123,29_001,outflow_13_17_Missouri.csv
12,071,29,001,Florida,Lee County,693989.0,668.0,584529.0,3708.0,103859.0,3630.0,62416.0,3384.0,14475.0,1524.0,26968.0,1672.0,5601.0,781.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,22.0,29.0,Lee,Adair,12_071,29_001,outflow_13_17_Missouri.csv
12,081,29,001,Florida,Manatee County,360488.0,429.0,301391.0,2697.0,56759.0,2729.0,28699.0,2083.0,12725.0,1306.0,15335.0,1516.0,2338.0,491.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,22.0,36.0,Manatee,Adair,12_081,29_001,outflow_13_17_Missouri.csv
12,103,29,001,Florida,Pinellas County,941616.0,646.0,792972.0,3690.0,142602.0,3697.0,91155.0,3117.0,20587.0,1427.0,30860.0,1696.0,6042.0,947.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,10.0,15.0,Pinellas,Adair,12_103,29_001,outflow_13_17_Missouri.csv
17,001,29,001,Illinois,Adams County,65797.0,197.0,58702.0,777.0,6989.0,769.0,5357.0,755.0,832.0,255.0,800.0,218.0,106.0,56.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,3.0,4.0,Adams,Adair,17_001,29_001,outflow_13_17_Missouri.csv
17,099,29,001,Illinois,LaSalle County,110008.0,174.0,96488.0,1035.0,13427.0,1052.0,8131.0,837.0,4000.0,545.0,1296.0,402.0,93.0,60.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,20.0,22.0,LaSalle,Adair,17_099,29_001,outflow_13_17_Missouri.csv
17,113,29,001,Illinois,McLean County,171154.0,268.0,140907.0,1500.0,29440.0,1476.0,16516.0,1262.0,9703.0,879.0,3221.0,586.0,807.0,201.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,29.0,47.0,McLean,Adair,17_113,29_001,outflow_13_17_Missouri.csv
17,163,29,001,Illinois,St. Clair County,261069.0,414.0,229587.0,1652.0,30200.0,1623.0,17954.0,1409.0,5147.0,790.0,7099.0,977.0,1282.0,431.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,11.0,22.0,St. Clair,Adair,17_163,29_001,outflow_13_17_Missouri.csv
17,183,29,001,Illinois,Vermilion County,78211.0,176.0,68265.0,940.0,9827.0,965.0,7139.0,864.0,1661.0,335.0,1027.0,247.0,119.0,69.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,8.0,12.0,Vermilion,Adair,17_183,29_001,outflow_13_17_Missouri.csv
18,003,29,001,Indiana,Allen County,362543.0,442.0,306224.0,1952.0,55426.0,1945.0,40712.0,2077.0,6907.0,715.0,7807.0,873.0,893.0,271.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,17.0,26.0,Allen,Adair,18_003,29_001,outflow_13_17_Missouri.csv
18,109,29,001,Indiana,Morgan County,68861.0,147.0,58584.0,1057.0,10265.0,1068.0,5048.0,1020.0,4699.0,773.0,518.0,204.0,12.0,16.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,10.0,16.0,Morgan,Adair,18_109,29_001,outflow_13_17_Missouri.csv
19,087,29,001,Iowa,Henry County,19615.0,67.0,16845.0,419.0,2747.0,399.0,1383.0,293.0,865.0,182.0,499.0,251.0,23.0,19.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,8.0,46.0,Henry,Adair,19_087,29_001,outflow_13_17_Missouri.csv
19,125,29,001,Iowa,Marion County,32772.0,101.0,27392.0,636.0,5301.0,623.0,3172.0,590.0,1735.0,351.0,394.0,138.0,79.0,43.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,10.0,15.0,Marion,Adair,19_125,29_001,outflow_13_17_Missouri.csv
19,153,29,001,Iowa,Polk County,460265.0,617.0,372626.0,3829.0,85952.0,3630.0,57246.0,3507.0,16324.0,1385.0,12382.0,1163.0,1687.0,379.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,49.0,49.0,Polk,Adair,19_153,29_001,outflow_13_17_Missouri.csv
19,185,29,001,Iowa,Wayne County,6327.0,23.0,5650.0,155.0,669.0,157.0,375.0,117.0,108.0,43.0,186.0,120.0,8.0,10.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,3.0,4.0,Wayne,Adair,19_185,29_001,outflow_13_17_Missouri.csv
20,091,29,001,Kansas,Johnson County,571758.0,490.0,478507.0,3153.0,90305.0,3021.0,54482.0,2487.0,12163.0,1105.0,23660.0,1475.0,2946.0,770.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,22.0,30.0,Johnson,Adair,20_091,29_001,outflow_13_17_Missouri.csv
20,103,29,001,Kansas,Leavenworth County,78356.0,178.0,63021.0,1077.0,14795.0,1073.0,6079.0,809.0,3125.0,514.0,5591.0,741.0,540.0,214.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,8.0,13.0,Leavenworth,Adair,20_103,29_001,outflow_13_17_Missouri.csv
27,053,29,001,Minnesota,Hennepin County,1209112.0,671.0,1004850.0,4113.0,193963.0,3846.0,120363.0,3233.0,41275.0,1833.0,32325.0,1374.0,10299.0,1132.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,12.0,19.0,Hennepin,Adair,27_053,29_001,outflow_13_17_Missouri.csv
27,105,29,001,Minnesota,Nobles County,21562.0,90.0,18966.0,479.0,2497.0,483.0,1718.0,394.0,309.0,89.0,470.0,236.0,99.0,70.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,59.0,98.0,Nobles,Adair,27_105,29_001,outflow_13_17_Missouri.csv
27,123,29,001,Minnesota,Ramsey County,530594.0,509.0,434014.0,2870.0,91921.0,2687.0,48640.0,2566.0,30333.0,1371.0,12948.0,1091.0,4659.0,754.0,Missouri,Adair County,24789.0,716.0,18003.0,619.0,6786.0,829.0,4039.0,645.0,2088.0,461.0,659.0,186.0,,,17.0,25.0,Ramsey,Adair,27_123,29_001,outflow_13_17_Missouri.csv
