origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
001,103,036,001,Alabama,Morgan County,117722.0,264.0,100749.0,1493.0,16830.0,1461.0,11005.0,1462.0,4370.0,892.0,1455.0,374.0,143.0,63.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,14.0,23.0,Morgan,Albany,outflow_13_17_New York.csv
002,220,036,001,Alaska,Sitka City and Borough,8727.0,36.0,6985.0,203.0,1685.0,215.0,858.0,195.0,471.0,130.0,356.0,114.0,57.0,35.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,5.0,9.0,Sitka City and Borough,Albany,outflow_13_17_New York.csv
004,001,036,001,Arizona,Apache County,70644.0,113.0,66112.0,604.0,4375.0,585.0,2240.0,504.0,1540.0,344.0,595.0,163.0,157.0,99.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,18.0,23.0,Apache,Albany,outflow_13_17_New York.csv
004,013,036,001,Arizona,Maricopa County,4104987.0,1606.0,3383797.0,9897.0,693913.0,9933.0,512911.0,8522.0,37636.0,2458.0,143366.0,4091.0,27277.0,1776.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,59.0,54.0,Maricopa,Albany,outflow_13_17_New York.csv
004,019,036,001,Arizona,Pima County,995337.0,607.0,786820.0,5633.0,199843.0,5325.0,146232.0,4790.0,17304.0,1278.0,36307.0,1838.0,8674.0,956.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,6.0,11.0,Pima,Albany,outflow_13_17_New York.csv
006,029,036,001,California,Kern County,866521.0,854.0,728051.0,4949.0,134483.0,4934.0,95480.0,4754.0,29470.0,2298.0,9533.0,1088.0,3987.0,755.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,27.0,30.0,Kern,Albany,outflow_13_17_New York.csv
006,037,036,001,California,Los Angeles County,9988370.0,2053.0,8849567.0,12645.0,1062322.0,12145.0,851215.0,11114.0,110785.0,2870.0,100322.0,3419.0,76481.0,2672.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,92.0,88.0,Los Angeles,Albany,outflow_13_17_New York.csv
006,041,036,001,California,Marin County,258452.0,341.0,222927.0,1832.0,33146.0,1664.0,15019.0,1280.0,14168.0,1015.0,3959.0,700.0,2379.0,464.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,20.0,31.0,Marin,Albany,outflow_13_17_New York.csv
006,059,036,001,California,Orange County,3120911.0,1259.0,2709673.0,8434.0,384462.0,7892.0,273160.0,6228.0,76610.0,2484.0,34692.0,2276.0,26776.0,2058.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,63.0,69.0,Orange,Albany,outflow_13_17_New York.csv
006,061,036,001,California,Placer County,371370.0,359.0,320423.0,2486.0,49464.0,2476.0,25890.0,1922.0,18198.0,1294.0,5376.0,729.0,1483.0,364.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,16.0,24.0,Placer,Albany,outflow_13_17_New York.csv
006,065,036,001,California,Riverside County,2326559.0,1284.0,1997914.0,6672.0,316390.0,6894.0,201620.0,5423.0,88487.0,3819.0,26283.0,2058.0,12255.0,1366.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,31.0,37.0,Riverside,Albany,outflow_13_17_New York.csv
006,067,036,001,California,Sacramento County,1476301.0,939.0,1229794.0,5635.0,236885.0,5594.0,163778.0,4822.0,54106.0,2613.0,19001.0,1381.0,9622.0,1102.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,50.0,58.0,Sacramento,Albany,outflow_13_17_New York.csv
006,073,036,001,California,San Diego County,3242145.0,1427.0,2732840.0,7503.0,473030.0,7081.0,349972.0,6364.0,47877.0,2479.0,75181.0,3382.0,36275.0,2260.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,136.0,91.0,San Diego,Albany,outflow_13_17_New York.csv
006,085,036,001,California,Santa Clara County,1888980.0,995.0,1613420.0,5624.0,239430.0,5701.0,159741.0,5091.0,45287.0,2146.0,34402.0,1801.0,36130.0,2020.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,10.0,15.0,Santa Clara,Albany,outflow_13_17_New York.csv
006,111,036,001,California,Ventura County,837948.0,640.0,738664.0,2851.0,94580.0,2844.0,62860.0,2759.0,21149.0,1467.0,10571.0,1053.0,4704.0,773.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,25.0,29.0,Ventura,Albany,outflow_13_17_New York.csv
008,005,036,001,Colorado,Arapahoe County,619048.0,582.0,500547.0,3900.0,113582.0,3817.0,53268.0,2754.0,39378.0,2036.0,20936.0,1400.0,4919.0,891.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,16.0,26.0,Arapahoe,Albany,outflow_13_17_New York.csv
008,013,036,001,Colorado,Boulder County,313815.0,340.0,242280.0,2238.0,68273.0,2251.0,34483.0,1960.0,14957.0,968.0,18833.0,1290.0,3262.0,548.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,16.0,25.0,Boulder,Albany,outflow_13_17_New York.csv
008,031,036,001,Colorado,Denver County,669390.0,556.0,528575.0,2917.0,136425.0,2774.0,62854.0,2608.0,43684.0,2312.0,29887.0,1564.0,4390.0,596.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,28.0,32.0,Denver,Albany,outflow_13_17_New York.csv
008,041,036,001,Colorado,El Paso County,665907.0,563.0,516388.0,4310.0,142047.0,4225.0,82533.0,3101.0,14641.0,1564.0,44873.0,2264.0,7472.0,887.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,11.0,15.0,El Paso,Albany,outflow_13_17_New York.csv
008,059,036,001,Colorado,Jefferson County,558288.0,428.0,472154.0,2478.0,83858.0,2555.0,37814.0,2044.0,28700.0,1649.0,17344.0,1447.0,2276.0,451.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,5.0,9.0,Jefferson,Albany,outflow_13_17_New York.csv
009,001,036,001,Connecticut,Fairfield County,937566.0,715.0,827554.0,3601.0,100927.0,3297.0,67535.0,2685.0,7907.0,956.0,25485.0,1687.0,9085.0,1163.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,41.0,37.0,Fairfield,Albany,outflow_13_17_New York.csv
009,003,036,001,Connecticut,Hartford County,888211.0,597.0,779704.0,3375.0,101584.0,3283.0,69437.0,2846.0,15482.0,1466.0,16665.0,1328.0,6923.0,763.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,102.0,88.0,Hartford,Albany,outflow_13_17_New York.csv
009,009,036,001,Connecticut,New Haven County,854178.0,676.0,753021.0,3505.0,94803.0,3137.0,64113.0,2922.0,14644.0,1030.0,16046.0,981.0,6354.0,1100.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,8.0,13.0,New Haven,Albany,outflow_13_17_New York.csv
009,011,036,001,Connecticut,New London County,268304.0,290.0,230436.0,2006.0,36755.0,1982.0,21038.0,1487.0,6071.0,593.0,9646.0,974.0,1113.0,413.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,23.0,22.0,New London,Albany,outflow_13_17_New York.csv
010,003,036,001,Delaware,New Castle County,549015.0,599.0,475584.0,3076.0,69709.0,3087.0,44496.0,2363.0,3996.0,828.0,21217.0,1753.0,3722.0,561.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,156.0,235.0,New Castle,Albany,outflow_13_17_New York.csv
010,005,036,001,Delaware,Sussex County,213390.0,232.0,189698.0,1535.0,23147.0,1533.0,11969.0,1246.0,2417.0,438.0,8761.0,807.0,545.0,157.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,2.0,4.0,Sussex,Albany,outflow_13_17_New York.csv
011,001,036,001,District of Columbia,District of Columbia,662540.0,676.0,530353.0,3189.0,121387.0,3044.0,66665.0,2555.0,,,54722.0,1970.0,10800.0,994.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,83.0,47.0,District of Columbia,Albany,outflow_13_17_New York.csv
012,021,036,001,Florida,Collier County,353329.0,454.0,293818.0,3332.0,55299.0,3350.0,31767.0,2661.0,8177.0,1320.0,15355.0,1735.0,4212.0,1003.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,33.0,33.0,Collier,Albany,outflow_13_17_New York.csv
012,057,036,001,Florida,Hillsborough County,1334621.0,845.0,1092354.0,5676.0,227874.0,5329.0,153104.0,4686.0,36411.0,2215.0,38359.0,2067.0,14393.0,1445.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,75.0,74.0,Hillsborough,Albany,outflow_13_17_New York.csv
012,061,036,001,Florida,Indian River County,146730.0,285.0,125929.0,1642.0,19859.0,1548.0,9071.0,1142.0,5444.0,854.0,5344.0,733.0,942.0,353.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,43.0,77.0,Indian River,Albany,outflow_13_17_New York.csv
012,069,036,001,Florida,Lake County,322641.0,477.0,269660.0,2895.0,51442.0,2923.0,25174.0,2059.0,16041.0,1949.0,10227.0,1390.0,1539.0,663.0,New York,Albany County,300948.0,2215.0,259330.0,1904.0,41606.0,2039.0,22516.0,1563.0,12386.0,1284.0,6704.0,804.0,12.0,16.0,8.0,16.0,Lake,Albany,outflow_13_17_New York.csv
