origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
38,005,38,001,North Dakota,Benson County,6730.0,29.0,6180.0,94.0,546.0,97.0,225.0,63.0,268.0,78.0,53.0,28.0,4.0,4.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,17.0,22.0,Benson,Adams,38_005,38_001,outflow_13_17_North Dakota.csv,2013,2017
38,015,38,001,North Dakota,Burleigh County,91069.0,252.0,76991.0,998.0,13852.0,988.0,7316.0,793.0,4283.0,610.0,2253.0,435.0,226.0,116.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,36.0,54.0,Burleigh,Adams,38_015,38_001,outflow_13_17_North Dakota.csv,2013,2017
38,017,38,001,North Dakota,Cass County,168262.0,382.0,129021.0,1879.0,38449.0,1879.0,22416.0,1648.0,3957.0,571.0,12076.0,1385.0,792.0,235.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,125.0,83.0,Cass,Adams,38_017,38_001,outflow_13_17_North Dakota.csv,2013,2017
38,035,38,001,North Dakota,Grand Forks County,69245.0,168.0,52768.0,1097.0,15981.0,1079.0,7324.0,816.0,2321.0,406.0,6336.0,668.0,496.0,147.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,30.0,38.0,Grand Forks,Adams,38_035,38_001,outflow_13_17_North Dakota.csv,2013,2017
38,041,38,001,North Dakota,Hettinger County,2554.0,18.0,2179.0,88.0,370.0,90.0,99.0,40.0,176.0,81.0,95.0,60.0,5.0,7.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,3.0,5.0,Hettinger,Adams,38_041,38_001,outflow_13_17_North Dakota.csv,2013,2017
38,055,38,001,North Dakota,McLean County,9519.0,23.0,8643.0,155.0,869.0,157.0,241.0,69.0,499.0,139.0,129.0,77.0,7.0,8.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,35.0,38.0,McLean,Adams,38_055,38_001,outflow_13_17_North Dakota.csv,2013,2017
38,065,38,001,North Dakota,Oliver County,1809.0,88.0,1608.0,92.0,197.0,84.0,70.0,51.0,127.0,68.0,,,4.0,5.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,5.0,7.0,Oliver,Adams,38_065,38_001,outflow_13_17_North Dakota.csv,2013,2017
38,067,38,001,North Dakota,Pembina County,6952.0,29.0,6171.0,165.0,746.0,151.0,365.0,102.0,237.0,82.0,144.0,70.0,35.0,32.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,21.0,28.0,Pembina,Adams,38_067,38_001,outflow_13_17_North Dakota.csv,2013,2017
38,081,38,001,North Dakota,Sargent County,3850.0,13.0,3434.0,103.0,399.0,106.0,207.0,83.0,68.0,22.0,124.0,62.0,17.0,12.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,3.0,4.0,Sargent,Adams,38_081,38_001,outflow_13_17_North Dakota.csv,2013,2017
38,089,38,001,North Dakota,Stark County,29819.0,149.0,24571.0,650.0,4951.0,580.0,2296.0,473.0,718.0,235.0,1937.0,515.0,297.0,152.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,67.0,73.0,Stark,Adams,38_089,38_001,outflow_13_17_North Dakota.csv,2013,2017
38,101,38,001,North Dakota,Ward County,68463.0,210.0,53499.0,1235.0,13961.0,1179.0,7656.0,884.0,1600.0,352.0,4705.0,642.0,1003.0,304.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,76.0,66.0,Ward,Adams,38_101,38_001,outflow_13_17_North Dakota.csv,2013,2017
46,005,38,001,South Dakota,Beadle County,17926.0,92.0,15336.0,584.0,2520.0,595.0,1779.0,485.0,374.0,157.0,367.0,272.0,70.0,46.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,4.0,7.0,Beadle,Adams,46_005,38_001,outflow_13_17_North Dakota.csv,2013,2017
46,089,38,001,South Dakota,McPherson County,2345.0,162.0,1963.0,164.0,372.0,207.0,87.0,75.0,158.0,185.0,127.0,112.0,10.0,11.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,18.0,25.0,McPherson,Adams,46_089,38_001,outflow_13_17_North Dakota.csv,2013,2017
46,103,38,001,South Dakota,Pennington County,106811.0,228.0,87161.0,1444.0,19004.0,1536.0,10384.0,1234.0,3913.0,550.0,4707.0,873.0,646.0,246.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,5.0,10.0,Pennington,Adams,46_103,38_001,outflow_13_17_North Dakota.csv,2013,2017
46,105,38,001,South Dakota,Perkins County,2930.0,114.0,2629.0,136.0,299.0,106.0,68.0,38.0,76.0,48.0,155.0,74.0,2.0,4.0,North Dakota,Adams County,2716.0,183.0,2135.0,73.0,581.0,187.0,84.0,40.0,418.0,169.0,79.0,54.0,,,52.0,47.0,Perkins,Adams,46_105,38_001,outflow_13_17_North Dakota.csv,2013,2017
04,021,38,003,Arizona,Pinal County,400836.0,419.0,323233.0,3519.0,73945.0,3551.0,32432.0,2807.0,22963.0,1666.0,18550.0,1925.0,3658.0,524.0,North Dakota,Barnes County,10767.0,361.0,9112.0,285.0,1655.0,289.0,805.0,198.0,387.0,147.0,463.0,169.0,,,9.0,14.0,Pinal,Barnes,04_021,38_003,outflow_13_17_North Dakota.csv,2013,2017
08,059,38,003,Colorado,Jefferson County,558288.0,428.0,472154.0,2478.0,83858.0,2555.0,37814.0,2044.0,28700.0,1649.0,17344.0,1447.0,2276.0,451.0,North Dakota,Barnes County,10767.0,361.0,9112.0,285.0,1655.0,289.0,805.0,198.0,387.0,147.0,463.0,169.0,,,18.0,34.0,Jefferson,Barnes,08_059,38_003,outflow_13_17_North Dakota.csv,2013,2017
12,053,38,003,Florida,Hernando County,177511.0,241.0,152177.0,1557.0,24706.0,1632.0,10761.0,1204.0,8292.0,1129.0,5653.0,793.0,628.0,216.0,North Dakota,Barnes County,10767.0,361.0,9112.0,285.0,1655.0,289.0,805.0,198.0,387.0,147.0,463.0,169.0,,,63.0,99.0,Hernando,Barnes,12_053,38_003,outflow_13_17_North Dakota.csv,2013,2017
12,099,38,003,Florida,Palm Beach County,1412446.0,926.0,1193610.0,4663.0,202003.0,4613.0,132445.0,4318.0,32404.0,1797.0,37154.0,2363.0,16833.0,1441.0,North Dakota,Barnes County,10767.0,361.0,9112.0,285.0,1655.0,289.0,805.0,198.0,387.0,147.0,463.0,169.0,,,61.0,88.0,Palm Beach,Barnes,12_099,38_003,outflow_13_17_North Dakota.csv,2013,2017
19,189,38,003,Iowa,Winnebago County,10391.0,51.0,8985.0,319.0,1378.0,305.0,510.0,140.0,595.0,228.0,273.0,114.0,28.0,34.0,North Dakota,Barnes County,10767.0,361.0,9112.0,285.0,1655.0,289.0,805.0,198.0,387.0,147.0,463.0,169.0,,,10.0,15.0,Winnebago,Barnes,19_189,38_003,outflow_13_17_North Dakota.csv,2013,2017
20,143,38,003,Kansas,Ottawa County,5946.0,12.0,5372.0,134.0,559.0,131.0,248.0,88.0,232.0,88.0,79.0,46.0,15.0,14.0,North Dakota,Barnes County,10767.0,361.0,9112.0,285.0,1655.0,289.0,805.0,198.0,387.0,147.0,463.0,169.0,,,2.0,3.0,Ottawa,Barnes,20_143,38_003,outflow_13_17_North Dakota.csv,2013,2017
26,001,38,003,Michigan,Alcona County,10352.0,20.0,9276.0,135.0,1044.0,139.0,414.0,104.0,475.0,89.0,155.0,37.0,32.0,17.0,North Dakota,Barnes County,10767.0,361.0,9112.0,285.0,1655.0,289.0,805.0,198.0,387.0,147.0,463.0,169.0,,,6.0,8.0,Alcona,Barnes,26_001,38_003,outflow_13_17_North Dakota.csv,2013,2017
27,005,38,003,Minnesota,Becker County,33193.0,60.0,29622.0,379.0,3282.0,357.0,1774.0,283.0,1021.0,189.0,487.0,118.0,289.0,230.0,North Dakota,Barnes County,10767.0,361.0,9112.0,285.0,1655.0,289.0,805.0,198.0,387.0,147.0,463.0,169.0,,,9.0,11.0,Becker,Barnes,27_005,38_003,outflow_13_17_North Dakota.csv,2013,2017
