origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
05,007,40,001,Arkansas,Benton County,248135.0,322.0,211913.0,2148.0,34306.0,2100.0,20264.0,1615.0,5211.0,716.0,8831.0,930.0,1916.0,482.0,Oklahoma,Adair County,22680.0,466.0,19937.0,287.0,2743.0,456.0,1129.0,212.0,1171.0,351.0,443.0,184.0,,,130.0,100.0,Benton,Adair,05_007,40_001,outflow_13_17_Oklahoma.csv
05,031,40,001,Arkansas,Craighead County,102939.0,242.0,78746.0,1843.0,23331.0,1654.0,15543.0,1304.0,5557.0,749.0,2231.0,425.0,862.0,415.0,Oklahoma,Adair County,22680.0,466.0,19937.0,287.0,2743.0,456.0,1129.0,212.0,1171.0,351.0,443.0,184.0,,,6.0,11.0,Craighead,Adair,05_031,40_001,outflow_13_17_Oklahoma.csv
05,083,40,001,Arkansas,Logan County,21525.0,69.0,18230.0,518.0,3211.0,565.0,1812.0,423.0,1080.0,376.0,319.0,141.0,84.0,144.0,Oklahoma,Adair County,22680.0,466.0,19937.0,287.0,2743.0,456.0,1129.0,212.0,1171.0,351.0,443.0,184.0,,,14.0,24.0,Logan,Adair,05_083,40_001,outflow_13_17_Oklahoma.csv
05,087,40,001,Arkansas,Madison County,15723.0,76.0,14586.0,250.0,1119.0,256.0,594.0,187.0,302.0,133.0,223.0,150.0,18.0,21.0,Oklahoma,Adair County,22680.0,466.0,19937.0,287.0,2743.0,456.0,1129.0,212.0,1171.0,351.0,443.0,184.0,,,4.0,9.0,Madison,Adair,05_087,40_001,outflow_13_17_Oklahoma.csv
05,121,40,001,Arkansas,Randolph County,17282.0,106.0,14119.0,579.0,3137.0,591.0,1931.0,433.0,686.0,337.0,520.0,236.0,26.0,35.0,Oklahoma,Adair County,22680.0,466.0,19937.0,287.0,2743.0,456.0,1129.0,212.0,1171.0,351.0,443.0,184.0,,,6.0,11.0,Randolph,Adair,05_121,40_001,outflow_13_17_Oklahoma.csv
05,131,40,001,Arkansas,Sebastian County,125415.0,320.0,104758.0,1549.0,20168.0,1570.0,12298.0,1260.0,4068.0,654.0,3802.0,571.0,489.0,224.0,Oklahoma,Adair County,22680.0,466.0,19937.0,287.0,2743.0,456.0,1129.0,212.0,1171.0,351.0,443.0,184.0,,,2.0,4.0,Sebastian,Adair,05_131,40_001,outflow_13_17_Oklahoma.csv
05,143,40,001,Arkansas,Washington County,220328.0,470.0,175338.0,2616.0,43854.0,2531.0,25271.0,1944.0,9091.0,1028.0,9492.0,1080.0,1136.0,318.0,Oklahoma,Adair County,22680.0,466.0,19937.0,287.0,2743.0,456.0,1129.0,212.0,1171.0,351.0,443.0,184.0,,,173.0,132.0,Washington,Adair,05_143,40_001,outflow_13_17_Oklahoma.csv
06,107,40,001,California,Tulare County,451981.0,514.0,394694.0,3601.0,55821.0,3375.0,42936.0,3288.0,9369.0,1158.0,3516.0,860.0,1466.0,494.0,Oklahoma,Adair County,22680.0,466.0,19937.0,287.0,2743.0,456.0,1129.0,212.0,1171.0,351.0,443.0,184.0,,,13.0,22.0,Tulare,Adair,06_107,40_001,outflow_13_17_Oklahoma.csv
13,299,40,001,Georgia,Ware County,35159.0,143.0,29850.0,922.0,5298.0,966.0,2769.0,750.0,1857.0,569.0,672.0,270.0,11.0,18.0,Oklahoma,Adair County,22680.0,466.0,19937.0,287.0,2743.0,456.0,1129.0,212.0,1171.0,351.0,443.0,184.0,,,3.0,5.0,Ware,Adair,13_299,40_001,outflow_13_17_Oklahoma.csv
19,125,40,001,Iowa,Marion County,32772.0,101.0,27392.0,636.0,5301.0,623.0,3172.0,590.0,1735.0,351.0,394.0,138.0,79.0,43.0,Oklahoma,Adair County,22680.0,466.0,19937.0,287.0,2743.0,456.0,1129.0,212.0,1171.0,351.0,443.0,184.0,,,5.0,9.0,Marion,Adair,19_125,40_001,outflow_13_17_Oklahoma.csv
