origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
002,170,041,001,Alaska,Matanuska-Susitna Borough,99815.0,164.0,83775.0,847.0,15682.0,855.0,8717.0,672.0,3992.0,442.0,2973.0,440.0,358.0,137.0,Oregon,Baker County,16369.0,475.0,12820.0,379.0,3549.0,488.0,1584.0,309.0,1463.0,316.0,502.0,240.0,,,45.0,43.0,Matanuska-Susitna Borough,Baker,outflow_13_17_Oregon.csv
006,065,041,001,California,Riverside County,2326559.0,1284.0,1997914.0,6672.0,316390.0,6894.0,201620.0,5423.0,88487.0,3819.0,26283.0,2058.0,12255.0,1366.0,Oregon,Baker County,16369.0,475.0,12820.0,379.0,3549.0,488.0,1584.0,309.0,1463.0,316.0,502.0,240.0,,,2.0,3.0,Riverside,Baker,outflow_13_17_Oregon.csv
012,109,041,001,Florida,St. Johns County,224661.0,285.0,184419.0,2862.0,38803.0,2864.0,15575.0,1644.0,13563.0,2128.0,9665.0,1232.0,1439.0,400.0,Oregon,Baker County,16369.0,475.0,12820.0,379.0,3549.0,488.0,1584.0,309.0,1463.0,316.0,502.0,240.0,,,31.0,50.0,St. Johns,Baker,outflow_13_17_Oregon.csv
016,001,041,001,Idaho,Ada County,430934.0,527.0,355999.0,3657.0,72775.0,3686.0,45100.0,3124.0,9260.0,1037.0,18415.0,1945.0,2160.0,587.0,Oregon,Baker County,16369.0,475.0,12820.0,379.0,3549.0,488.0,1584.0,309.0,1463.0,316.0,502.0,240.0,,,191.0,217.0,Ada,Baker,outflow_13_17_Oregon.csv
016,013,041,001,Idaho,Blaine County,21340.0,73.0,19093.0,532.0,2178.0,526.0,1008.0,333.0,462.0,228.0,708.0,307.0,69.0,48.0,Oregon,Baker County,16369.0,475.0,12820.0,379.0,3549.0,488.0,1584.0,309.0,1463.0,316.0,502.0,240.0,,,9.0,17.0,Blaine,Baker,outflow_13_17_Oregon.csv
016,027,041,001,Idaho,Canyon County,204313.0,340.0,166086.0,2596.0,37339.0,2459.0,21024.0,1814.0,9378.0,1398.0,6937.0,1092.0,888.0,446.0,Oregon,Baker County,16369.0,475.0,12820.0,379.0,3549.0,488.0,1584.0,309.0,1463.0,316.0,502.0,240.0,,,48.0,68.0,Canyon,Baker,outflow_13_17_Oregon.csv
016,031,041,001,Idaho,Cassia County,23149.0,83.0,19725.0,512.0,3354.0,501.0,1314.0,341.0,1336.0,367.0,704.0,202.0,70.0,51.0,Oregon,Baker County,16369.0,475.0,12820.0,379.0,3549.0,488.0,1584.0,309.0,1463.0,316.0,502.0,240.0,,,10.0,19.0,Cassia,Baker,outflow_13_17_Oregon.csv
016,049,041,001,Idaho,Idaho County,16077.0,58.0,13185.0,413.0,2866.0,425.0,1202.0,373.0,1212.0,386.0,452.0,109.0,26.0,22.0,Oregon,Baker County,16369.0,475.0,12820.0,379.0,3549.0,488.0,1584.0,309.0,1463.0,316.0,502.0,240.0,,,12.0,20.0,Idaho,Baker,outflow_13_17_Oregon.csv
016,057,041,001,Idaho,Latah County,38421.0,103.0,27722.0,811.0,10219.0,799.0,4579.0,576.0,2890.0,382.0,2750.0,591.0,480.0,209.0,Oregon,Baker County,16369.0,475.0,12820.0,379.0,3549.0,488.0,1584.0,309.0,1463.0,316.0,502.0,240.0,,,6.0,11.0,Latah,Baker,outflow_13_17_Oregon.csv
016,083,041,001,Idaho,Twin Falls County,80824.0,227.0,67785.0,1249.0,12841.0,1242.0,7254.0,901.0,3190.0,739.0,2397.0,508.0,198.0,110.0,Oregon,Baker County,16369.0,475.0,12820.0,379.0,3549.0,488.0,1584.0,309.0,1463.0,316.0,502.0,240.0,,,2.0,4.0,Twin Falls,Baker,outflow_13_17_Oregon.csv
