origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
02,016,02,013,Alaska,Aleutians West Census Area,5674.0,8.0,4578.0,148.0,976.0,143.0,466.0,106.0,151.0,54.0,359.0,80.0,120.0,84.0,Alaska,Aleutians East Borough,3854.0,366.0,2832.0,142.0,1022.0,332.0,151.0,44.0,823.0,333.0,48.0,52.0,,,22.0,19.0,Aleutians West Census Area,Aleutians East Borough,02_016,02_013,outflow_16_20_Alaska.csv
02,020,02,013,Alaska,Anchorage Municipality,288241.0,403.0,234127.0,3093.0,51619.0,3057.0,34184.0,2400.0,5819.0,1199.0,11616.0,1278.0,2495.0,617.0,Alaska,Aleutians East Borough,3854.0,366.0,2832.0,142.0,1022.0,332.0,151.0,44.0,823.0,333.0,48.0,52.0,,,476.0,260.0,Anchorage Municipality,Aleutians East Borough,02_020,02_013,outflow_16_20_Alaska.csv
02,090,02,013,Alaska,Fairbanks North Star Borough,96814.0,306.0,77176.0,1690.0,18483.0,1503.0,9612.0,1106.0,2115.0,555.0,6756.0,958.0,1155.0,533.0,Alaska,Aleutians East Borough,3854.0,366.0,2832.0,142.0,1022.0,332.0,151.0,44.0,823.0,333.0,48.0,52.0,,,59.0,48.0,Fairbanks North Star Borough,Aleutians East Borough,02_090,02_013,outflow_16_20_Alaska.csv
02,105,02,013,Alaska,Hoonah-Angoon Census Area,2123.0,7.0,1864.0,82.0,259.0,82.0,66.0,41.0,96.0,50.0,97.0,75.0,,,Alaska,Aleutians East Borough,3854.0,366.0,2832.0,142.0,1022.0,332.0,151.0,44.0,823.0,333.0,48.0,52.0,,,5.0,9.0,Hoonah-Angoon Census Area,Aleutians East Borough,02_105,02_013,outflow_16_20_Alaska.csv
02,122,02,013,Alaska,Kenai Peninsula Borough,58243.0,130.0,49513.0,764.0,8590.0,736.0,5027.0,712.0,1574.0,361.0,1989.0,379.0,140.0,116.0,Alaska,Aleutians East Borough,3854.0,366.0,2832.0,142.0,1022.0,332.0,151.0,44.0,823.0,333.0,48.0,52.0,,,22.0,19.0,Kenai Peninsula Borough,Aleutians East Borough,02_122,02_013,outflow_16_20_Alaska.csv
02,150,02,013,Alaska,Kodiak Island Borough,13236.0,63.0,10832.0,410.0,2193.0,379.0,751.0,265.0,504.0,204.0,938.0,239.0,211.0,152.0,Alaska,Aleutians East Borough,3854.0,366.0,2832.0,142.0,1022.0,332.0,151.0,44.0,823.0,333.0,48.0,52.0,,,44.0,46.0,Kodiak Island Borough,Aleutians East Borough,02_150,02_013,outflow_16_20_Alaska.csv
02,170,02,013,Alaska,Matanuska-Susitna Borough,105958.0,161.0,89456.0,1094.0,16082.0,1104.0,8216.0,874.0,4818.0,669.0,3048.0,552.0,420.0,187.0,Alaska,Aleutians East Borough,3854.0,366.0,2832.0,142.0,1022.0,332.0,151.0,44.0,823.0,333.0,48.0,52.0,,,158.0,140.0,Matanuska-Susitna Borough,Aleutians East Borough,02_170,02_013,outflow_16_20_Alaska.csv
02,220,02,013,Alaska,Sitka City and Borough,8499.0,27.0,6623.0,278.0,1809.0,277.0,984.0,216.0,367.0,129.0,458.0,144.0,67.0,35.0,Alaska,Aleutians East Borough,3854.0,366.0,2832.0,142.0,1022.0,332.0,151.0,44.0,823.0,333.0,48.0,52.0,,,11.0,15.0,Sitka City and Borough,Aleutians East Borough,02_220,02_013,outflow_16_20_Alaska.csv
02,240,02,013,Alaska,Southeast Fairbanks Census Area,6817.0,35.0,5367.0,238.0,1397.0,243.0,647.0,176.0,422.0,155.0,328.0,147.0,53.0,51.0,Alaska,Aleutians East Borough,3854.0,366.0,2832.0,142.0,1022.0,332.0,151.0,44.0,823.0,333.0,48.0,52.0,,,26.0,38.0,Southeast Fairbanks Census Area,Aleutians East Borough,02_240,02_013,outflow_16_20_Alaska.csv
04,021,02,013,Arizona,Pinal County,442252.0,647.0,366513.0,3925.0,73281.0,3736.0,28840.0,2424.0,25631.0,2409.0,18810.0,1916.0,2458.0,411.0,Alaska,Aleutians East Borough,3854.0,366.0,2832.0,142.0,1022.0,332.0,151.0,44.0,823.0,333.0,48.0,52.0,,,29.0,40.0,Pinal,Aleutians East Borough,04_021,02_013,outflow_16_20_Alaska.csv
