origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
01,033,06,001,Alabama,Colbert County,54263.0,201.0,49982.0,699.0,4145.0,686.0,2437.0,603.0,1152.0,329.0,556.0,252.0,136.0,162.0,California,Alameda County,1643733.0,4897.0,1435632.0,4472.0,208101.0,4467.0,105131.0,3637.0,71396.0,2432.0,31574.0,2102.0,,,126.0,187.0,Colbert,Alameda,01_033,06_001,outflow_16_20_California.csv
01,051,06,001,Alabama,Elmore County,80917.0,198.0,69740.0,1363.0,10857.0,1298.0,4326.0,961.0,5550.0,729.0,981.0,360.0,320.0,177.0,California,Alameda County,1643733.0,4897.0,1435632.0,4472.0,208101.0,4467.0,105131.0,3637.0,71396.0,2432.0,31574.0,2102.0,,,5.0,11.0,Elmore,Alameda,01_051,06_001,outflow_16_20_California.csv
01,089,06,001,Alabama,Madison County,363144.0,535.0,302863.0,2609.0,58499.0,2516.0,38502.0,2216.0,8617.0,1131.0,11380.0,1033.0,1782.0,449.0,California,Alameda County,1643733.0,4897.0,1435632.0,4472.0,208101.0,4467.0,105131.0,3637.0,71396.0,2432.0,31574.0,2102.0,,,17.0,35.0,Madison,Alameda,01_089,06_001,outflow_16_20_California.csv
02,020,06,001,Alaska,Anchorage Municipality,288241.0,403.0,234127.0,3093.0,51619.0,3057.0,34184.0,2400.0,5819.0,1199.0,11616.0,1278.0,2495.0,617.0,California,Alameda County,1643733.0,4897.0,1435632.0,4472.0,208101.0,4467.0,105131.0,3637.0,71396.0,2432.0,31574.0,2102.0,,,223.0,268.0,Anchorage Municipality,Alameda,02_020,06_001,outflow_16_20_California.csv
02,100,06,001,Alaska,Haines Borough,2537.0,9.0,2257.0,138.0,280.0,134.0,162.0,111.0,83.0,63.0,35.0,25.0,,,California,Alameda County,1643733.0,4897.0,1435632.0,4472.0,208101.0,4467.0,105131.0,3637.0,71396.0,2432.0,31574.0,2102.0,,,1.0,3.0,Haines Borough,Alameda,02_100,06_001,outflow_16_20_California.csv
02,130,06,001,Alaska,Ketchikan Gateway Borough,13677.0,46.0,11674.0,262.0,1912.0,250.0,1068.0,166.0,239.0,55.0,605.0,173.0,91.0,55.0,California,Alameda County,1643733.0,4897.0,1435632.0,4472.0,208101.0,4467.0,105131.0,3637.0,71396.0,2432.0,31574.0,2102.0,,,5.0,10.0,Ketchikan Gateway Borough,Alameda,02_130,06_001,outflow_16_20_California.csv
02,220,06,001,Alaska,Sitka City and Borough,8499.0,27.0,6623.0,278.0,1809.0,277.0,984.0,216.0,367.0,129.0,458.0,144.0,67.0,35.0,California,Alameda County,1643733.0,4897.0,1435632.0,4472.0,208101.0,4467.0,105131.0,3637.0,71396.0,2432.0,31574.0,2102.0,,,1.0,3.0,Sitka City and Borough,Alameda,02_220,06_001,outflow_16_20_California.csv
04,003,06,001,Arizona,Cochise County,124982.0,277.0,105084.0,1429.0,18577.0,1368.0,7720.0,975.0,3979.0,569.0,6878.0,859.0,1321.0,420.0,California,Alameda County,1643733.0,4897.0,1435632.0,4472.0,208101.0,4467.0,105131.0,3637.0,71396.0,2432.0,31574.0,2102.0,,,2.0,3.0,Cochise,Alameda,04_003,06_001,outflow_16_20_California.csv
04,005,06,001,Arizona,Coconino County,140837.0,272.0,106539.0,2025.0,33446.0,1977.0,14306.0,1754.0,10450.0,889.0,8690.0,1134.0,852.0,377.0,California,Alameda County,1643733.0,4897.0,1435632.0,4472.0,208101.0,4467.0,105131.0,3637.0,71396.0,2432.0,31574.0,2102.0,,,58.0,51.0,Coconino,Alameda,04_005,06_001,outflow_16_20_California.csv
04,013,06,001,Arizona,Maricopa County,4361511.0,2090.0,3637569.0,12791.0,698147.0,11946.0,508750.0,10297.0,35339.0,2002.0,154058.0,5697.0,25795.0,1957.0,California,Alameda County,1643733.0,4897.0,1435632.0,4472.0,208101.0,4467.0,105131.0,3637.0,71396.0,2432.0,31574.0,2102.0,,,1168.0,322.0,Maricopa,Alameda,04_013,06_001,outflow_16_20_California.csv
