origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
004,019,017,001,Arizona,Pima County,1028084.0,769.0,830937.0,5139.0,189424.0,5057.0,128481.0,4393.0,21187.0,1386.0,39756.0,2215.0,7723.0,1179.0,Illinois,Adams County,66343.0,789.0,57999.0,737.0,8344.0,946.0,4808.0,710.0,1698.0,301.0,1838.0,501.0,,,28.0,35.0,Pima,Adams,outflow_16_20_Illinois.csv
005,085,017,001,Arkansas,Lonoke County,72164.0,212.0,63533.0,1033.0,8428.0,977.0,4014.0,709.0,3349.0,692.0,1065.0,322.0,203.0,139.0,Illinois,Adams County,66343.0,789.0,57999.0,737.0,8344.0,946.0,4808.0,710.0,1698.0,301.0,1838.0,501.0,,,48.0,61.0,Lonoke,Adams,outflow_16_20_Illinois.csv
012,099,017,001,Florida,Palm Beach County,1467660.0,912.0,1261675.0,5858.0,189658.0,5520.0,119519.0,4689.0,33069.0,2182.0,37070.0,1924.0,16327.0,1780.0,Illinois,Adams County,66343.0,789.0,57999.0,737.0,8344.0,946.0,4808.0,710.0,1698.0,301.0,1838.0,501.0,,,28.0,41.0,Palm Beach,Adams,outflow_16_20_Illinois.csv
012,115,017,001,Florida,Sarasota County,424762.0,425.0,358389.0,2911.0,64088.0,2949.0,32699.0,2039.0,11314.0,1030.0,20075.0,1735.0,2285.0,460.0,Illinois,Adams County,66343.0,789.0,57999.0,737.0,8344.0,946.0,4808.0,710.0,1698.0,301.0,1838.0,501.0,,,12.0,22.0,Sarasota,Adams,outflow_16_20_Illinois.csv
012,119,017,001,Florida,Sumter County,129498.0,158.0,112625.0,1842.0,16040.0,1767.0,5675.0,1370.0,4458.0,747.0,5907.0,995.0,833.0,354.0,Illinois,Adams County,66343.0,789.0,57999.0,737.0,8344.0,946.0,4808.0,710.0,1698.0,301.0,1838.0,501.0,,,40.0,64.0,Sumter,Adams,outflow_16_20_Illinois.csv
012,127,017,001,Florida,Volusia County,541656.0,520.0,467509.0,3635.0,71199.0,3620.0,35906.0,2260.0,20573.0,2162.0,14720.0,1668.0,2948.0,716.0,Illinois,Adams County,66343.0,789.0,57999.0,737.0,8344.0,946.0,4808.0,710.0,1698.0,301.0,1838.0,501.0,,,168.0,271.0,Volusia,Adams,outflow_16_20_Illinois.csv
013,083,017,001,Georgia,Dade County,16029.0,99.0,13180.0,589.0,2679.0,565.0,1053.0,389.0,776.0,405.0,850.0,273.0,170.0,184.0,Illinois,Adams County,66343.0,789.0,57999.0,737.0,8344.0,946.0,4808.0,710.0,1698.0,301.0,1838.0,501.0,,,6.0,12.0,Dade,Adams,outflow_16_20_Illinois.csv
013,127,017,001,Georgia,Glynn County,84070.0,300.0,70293.0,1569.0,13619.0,1544.0,7535.0,1315.0,3672.0,711.0,2412.0,679.0,158.0,117.0,Illinois,Adams County,66343.0,789.0,57999.0,737.0,8344.0,946.0,4808.0,710.0,1698.0,301.0,1838.0,501.0,,,11.0,18.0,Glynn,Adams,outflow_16_20_Illinois.csv
013,215,017,001,Georgia,Muscogee County,193106.0,354.0,152328.0,2872.0,38913.0,2850.0,20114.0,2272.0,7288.0,1223.0,11511.0,1282.0,1865.0,734.0,Illinois,Adams County,66343.0,789.0,57999.0,737.0,8344.0,946.0,4808.0,710.0,1698.0,301.0,1838.0,501.0,,,12.0,17.0,Muscogee,Adams,outflow_16_20_Illinois.csv
016,005,017,001,Idaho,Bannock County,85503.0,233.0,69561.0,1042.0,15659.0,996.0,8909.0,720.0,3976.0,598.0,2774.0,468.0,283.0,122.0,Illinois,Adams County,66343.0,789.0,57999.0,737.0,8344.0,946.0,4808.0,710.0,1698.0,301.0,1838.0,501.0,,,7.0,14.0,Bannock,Adams,outflow_16_20_Illinois.csv
