origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
01,083,42,001,Alabama,Limestone County,95760.0,314.0,83773.0,1306.0,11869.0,1292.0,4892.0,870.0,5159.0,929.0,1818.0,561.0,118.0,100.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,126.0,204.0,Limestone,Adams,01_083,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
01,097,42,001,Alabama,Mobile County,408424.0,690.0,360820.0,2949.0,46870.0,2922.0,35108.0,2758.0,4522.0,895.0,7240.0,910.0,734.0,262.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,56.0,84.0,Mobile,Adams,01_097,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
04,019,42,001,Arizona,Pima County,1028084.0,769.0,830937.0,5139.0,189424.0,5057.0,128481.0,4393.0,21187.0,1386.0,39756.0,2215.0,7723.0,1179.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,29.0,26.0,Pima,Adams,04_019,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
08,041,42,001,Colorado,El Paso County,701947.0,668.0,554323.0,4808.0,141433.0,4695.0,77796.0,3477.0,16464.0,1690.0,47173.0,2769.0,6191.0,852.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,2.0,16.0,El Paso,Adams,08_041,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
09,001,42,001,Connecticut,Fairfield County,934366.0,661.0,825322.0,3733.0,99660.0,3324.0,65481.0,3284.0,7080.0,843.0,27099.0,1695.0,9384.0,1238.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,8.0,10.0,Fairfield,Adams,09_001,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
09,011,42,001,Connecticut,New London County,264814.0,327.0,229964.0,2162.0,33916.0,2112.0,17951.0,1514.0,6325.0,1373.0,9640.0,1026.0,934.0,379.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,13.0,22.0,New London,Adams,09_011,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
10,001,42,001,Delaware,Kent County,177225.0,318.0,154158.0,1913.0,22650.0,1933.0,11245.0,1240.0,4039.0,759.0,7366.0,1207.0,417.0,186.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,22.0,35.0,Kent,Adams,10_001,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
11,001,42,001,District of Columbia,District of Columbia,693253.0,778.0,559402.0,3329.0,123782.0,3406.0,67102.0,2693.0,,,56680.0,2445.0,10069.0,1010.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,4.0,6.0,District of Columbia,Adams,11_001,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
12,023,42,001,Florida,Columbia County,69979.0,327.0,56803.0,1531.0,12974.0,1465.0,5918.0,1235.0,5478.0,777.0,1578.0,486.0,202.0,157.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,15.0,23.0,Columbia,Adams,12_023,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
12,061,42,001,Florida,Indian River County,156177.0,276.0,136387.0,1919.0,18549.0,1636.0,7920.0,1155.0,4958.0,953.0,5671.0,973.0,1241.0,612.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,75.0,108.0,Indian River,Adams,12_061,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
12,071,42,001,Florida,Lee County,750144.0,686.0,638686.0,4891.0,105160.0,4754.0,61041.0,4011.0,14559.0,1581.0,29560.0,2258.0,6298.0,985.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,61.0,72.0,Lee,Adams,12_071,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
12,083,42,001,Florida,Marion County,357137.0,593.0,310729.0,2800.0,44955.0,2845.0,21018.0,2010.0,12102.0,1458.0,11835.0,1617.0,1453.0,579.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,32.0,41.0,Marion,Adams,12_083,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
12,101,42,001,Florida,Pasco County,534640.0,682.0,459360.0,3166.0,72647.0,3122.0,32866.0,2418.0,23995.0,1930.0,15786.0,1639.0,2633.0,482.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,18.0,29.0,Pasco,Adams,12_101,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
13,089,42,001,Georgia,DeKalb County,746247.0,917.0,626202.0,4811.0,113309.0,4413.0,55819.0,3309.0,34193.0,2051.0,23297.0,2510.0,6736.0,1244.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,20.0,30.0,DeKalb,Adams,13_089,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
13,121,42,001,Georgia,Fulton County,1038670.0,1312.0,853688.0,6131.0,174596.0,6114.0,84814.0,4257.0,52929.0,3847.0,36853.0,2664.0,10386.0,1510.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,32.0,50.0,Fulton,Adams,13_121,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
17,031,42,001,Illinois,Cook County,5107962.0,1852.0,4470049.0,10681.0,603107.0,10206.0,475372.0,9576.0,44784.0,2474.0,82951.0,3392.0,34806.0,2473.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,20.0,33.0,Cook,Adams,17_031,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
18,163,42,001,Indiana,Vanderburgh County,179992.0,262.0,147244.0,2292.0,32124.0,2216.0,19585.0,1721.0,7294.0,886.0,5245.0,1055.0,624.0,327.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,27.0,42.0,Vanderburgh,Adams,18_163,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
19,087,42,001,Iowa,Henry County,19720.0,55.0,16951.0,403.0,2739.0,400.0,962.0,249.0,1426.0,246.0,351.0,159.0,30.0,25.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,11.0,18.0,Henry,Adams,19_087,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
19,103,42,001,Iowa,Johnson County,148991.0,337.0,112743.0,2021.0,34363.0,1918.0,18907.0,1330.0,8264.0,916.0,7192.0,1032.0,1885.0,699.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,19.0,32.0,Johnson,Adams,19_103,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
21,037,42,001,Kentucky,Campbell County,92568.0,207.0,79996.0,1050.0,12273.0,990.0,5500.0,716.0,3721.0,472.0,3052.0,590.0,299.0,148.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,20.0,28.0,Campbell,Adams,21_037,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
21,111,42,001,Kentucky,Jefferson County,758937.0,765.0,642384.0,4569.0,113650.0,4254.0,81419.0,3871.0,13361.0,1272.0,18870.0,1600.0,2903.0,629.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,6.0,10.0,Jefferson,Adams,21_111,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
23,007,42,001,Maine,Franklin County,29692.0,75.0,25218.0,579.0,4427.0,565.0,1781.0,388.0,1854.0,516.0,792.0,207.0,47.0,34.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,16.0,20.0,Franklin,Adams,23_007,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
23,017,42,001,Maine,Oxford County,57192.0,109.0,50351.0,815.0,6786.0,802.0,4323.0,728.0,1183.0,373.0,1280.0,279.0,55.0,43.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,11.0,17.0,Oxford,Adams,23_017,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
24,001,42,001,Maryland,Allegany County,70326.0,141.0,60137.0,901.0,10109.0,888.0,5417.0,644.0,2849.0,382.0,1843.0,386.0,80.0,48.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,19.0,32.0,Allegany,Adams,24_001,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
24,003,42,001,Maryland,Anne Arundel County,568916.0,668.0,485816.0,3777.0,79770.0,3693.0,40528.0,2398.0,20101.0,1978.0,19141.0,2165.0,3330.0,620.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,78.0,82.0,Anne Arundel,Adams,24_003,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
24,005,42,001,Maryland,Baltimore County,819788.0,585.0,720969.0,3993.0,93423.0,3670.0,51877.0,2646.0,27924.0,1848.0,13622.0,1515.0,5396.0,900.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,38.0,38.0,Baltimore,Adams,24_005,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
24,009,42,001,Maryland,Calvert County,91379.0,172.0,82486.0,1116.0,8487.0,1047.0,3684.0,785.0,3124.0,756.0,1679.0,448.0,406.0,213.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,20.0,33.0,Calvert,Adams,24_009,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
24,013,42,001,Maryland,Carroll County,166709.0,211.0,152848.0,1628.0,13683.0,1618.0,6559.0,1099.0,5133.0,809.0,1991.0,461.0,178.0,93.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,23.0,25.0,Carroll,Adams,24_013,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
24,021,42,001,Maryland,Frederick County,253137.0,343.0,221478.0,1917.0,30647.0,1906.0,15637.0,1311.0,8577.0,1057.0,6433.0,767.0,1012.0,334.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,82.0,107.0,Frederick,Adams,24_021,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
24,031,42,001,Maryland,Montgomery County,1035337.0,870.0,891772.0,5151.0,128341.0,5078.0,77443.0,4553.0,16937.0,1723.0,33961.0,2084.0,15224.0,1473.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,14.0,20.0,Montgomery,Adams,24_031,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
24,035,42,001,Maryland,Queen Anne's County,49772.0,144.0,44730.0,677.0,4973.0,691.0,1895.0,450.0,2123.0,558.0,955.0,336.0,69.0,61.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,15.0,25.0,Queen Anne's,Adams,24_035,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
24,037,42,001,Maryland,St. Mary's County,111853.0,247.0,96331.0,1612.0,15029.0,1500.0,7355.0,1252.0,4096.0,863.0,3578.0,668.0,493.0,278.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,54.0,57.0,St. Mary's,Adams,24_037,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
24,043,42,001,Maryland,Washington County,149257.0,258.0,127605.0,1607.0,21234.0,1634.0,13280.0,1546.0,5078.0,673.0,2876.0,512.0,418.0,157.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,39.0,39.0,Washington,Adams,24_043,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
24,510,42,001,Maryland,Baltimore City,595287.0,762.0,502118.0,3338.0,89297.0,3224.0,52531.0,2786.0,22367.0,2029.0,14399.0,1302.0,3872.0,567.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,16.0,23.0,Baltimore City,Adams,24_510,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
25,001,42,001,Massachusetts,Barnstable County,211952.0,404.0,191505.0,1594.0,19391.0,1628.0,10476.0,1257.0,4759.0,647.0,4156.0,755.0,1056.0,418.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,36.0,51.0,Barnstable,Adams,25_001,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
25,015,42,001,Massachusetts,Hampshire County,160475.0,173.0,126525.0,1646.0,32252.0,1652.0,15808.0,1218.0,11332.0,1179.0,5112.0,757.0,1698.0,310.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,12.0,18.0,Hampshire,Adams,25_015,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
25,023,42,001,Massachusetts,Plymouth County,512921.0,654.0,461021.0,3446.0,49730.0,3147.0,28764.0,2509.0,16018.0,1682.0,4948.0,821.0,2170.0,494.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,11.0,19.0,Plymouth,Adams,25_023,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
25,027,42,001,Massachusetts,Worcester County,818436.0,698.0,729460.0,3557.0,84061.0,3474.0,54185.0,3000.0,17384.0,1346.0,12492.0,1310.0,4915.0,649.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,9.0,14.0,Worcester,Adams,25_027,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
27,099,42,001,Minnesota,Mower County,39399.0,125.0,33237.0,822.0,5968.0,837.0,3652.0,766.0,1227.0,311.0,1089.0,316.0,194.0,115.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,2.0,3.0,Mower,Adams,27_099,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
30,031,42,001,Montana,Gallatin County,110338.0,225.0,87567.0,1673.0,22295.0,1666.0,11233.0,1181.0,3143.0,458.0,7919.0,1389.0,476.0,187.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,4.0,7.0,Gallatin,Adams,30_031,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
34,005,42,001,New Jersey,Burlington County,442404.0,416.0,391727.0,2475.0,47529.0,2227.0,21976.0,1702.0,14903.0,1352.0,10650.0,1179.0,3148.0,876.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,1.0,2.0,Burlington,Adams,34_005,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
34,007,42,001,New Jersey,Camden County,500547.0,554.0,441421.0,3065.0,55794.0,3045.0,32861.0,2398.0,13513.0,1431.0,9420.0,1379.0,3332.0,736.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,2.0,5.0,Camden,Adams,34_007,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
34,015,42,001,New Jersey,Gloucester County,289081.0,313.0,260363.0,1965.0,28216.0,1835.0,13637.0,1139.0,10969.0,1269.0,3610.0,567.0,502.0,202.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,8.0,17.0,Gloucester,Adams,34_015,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
34,021,42,001,New Jersey,Mercer County,364471.0,506.0,314805.0,2828.0,46845.0,2777.0,23565.0,2066.0,14363.0,1303.0,8917.0,1044.0,2821.0,495.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,23.0,46.0,Mercer,Adams,34_021,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
34,023,42,001,New Jersey,Middlesex County,816556.0,713.0,728933.0,3526.0,78827.0,3152.0,42742.0,2491.0,22034.0,1620.0,14051.0,1257.0,8796.0,1047.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,53.0,51.0,Middlesex,Adams,34_023,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
36,047,42,001,New York,Kings County,2540107.0,1359.0,2303356.0,5341.0,217859.0,4965.0,144334.0,4277.0,45053.0,2072.0,28472.0,1551.0,18892.0,1306.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,37.0,43.0,Kings,Adams,36_047,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
36,075,42,001,New York,Oswego County,116387.0,197.0,99853.0,1191.0,16232.0,1144.0,10036.0,1047.0,4927.0,541.0,1269.0,265.0,302.0,140.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,5.0,11.0,Oswego,Adams,36_075,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
37,101,42,001,North Carolina,Johnston County,200763.0,416.0,177842.0,1984.0,22527.0,1984.0,9460.0,1448.0,8983.0,1324.0,4084.0,879.0,394.0,181.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,14.0,26.0,Johnston,Adams,37_101,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
37,119,42,001,North Carolina,Mecklenburg County,1081807.0,846.0,899390.0,5847.0,173250.0,5681.0,103721.0,4733.0,23906.0,2003.0,45623.0,2359.0,9167.0,1334.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,22.0,35.0,Mecklenburg,Adams,37_119,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
39,035,42,001,Ohio,Cuyahoga County,1227755.0,750.0,1047192.0,4493.0,173870.0,4545.0,131628.0,4194.0,22646.0,1498.0,19596.0,1262.0,6693.0,984.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,7.0,10.0,Cuyahoga,Adams,39_035,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
39,099,42,001,Ohio,Mahoning County,226333.0,278.0,197995.0,1623.0,27675.0,1618.0,17156.0,1332.0,6333.0,822.0,4186.0,680.0,663.0,232.0,Pennsylvania,Adams County,102012.0,1007.0,90821.0,844.0,11191.0,1069.0,4852.0,634.0,4561.0,677.0,1778.0,392.0,,,25.0,36.0,Mahoning,Adams,39_099,42_001,outflow_16_20_Pennsylvania.csv,2016,2020
