origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
06,065,45,001,California,Riverside County,2411845.0,1319.0,2120021.0,8916.0,281555.0,8528.0,164401.0,5901.0,90386.0,4781.0,26768.0,1875.0,10269.0,1036.0,South Carolina,Abbeville County,23966.0,673.0,21797.0,595.0,2169.0,410.0,662.0,260.0,1316.0,367.0,191.0,141.0,,,6.0,9.0,Riverside,Abbeville,06_065,45_001,outflow_16_20_South Carolina.csv,2016,2020
12,105,45,001,Florida,Polk County,698222.0,771.0,594427.0,4721.0,98262.0,4791.0,49573.0,3589.0,26015.0,2431.0,22674.0,2365.0,5533.0,968.0,South Carolina,Abbeville County,23966.0,673.0,21797.0,595.0,2169.0,410.0,662.0,260.0,1316.0,367.0,191.0,141.0,,,14.0,23.0,Polk,Abbeville,12_105,45_001,outflow_16_20_South Carolina.csv,2016,2020
28,111,45,001,Mississippi,Perry County,11949.0,27.0,10616.0,489.0,1321.0,487.0,435.0,250.0,699.0,421.0,187.0,148.0,12.0,16.0,South Carolina,Abbeville County,23966.0,673.0,21797.0,595.0,2169.0,410.0,662.0,260.0,1316.0,367.0,191.0,141.0,,,35.0,52.0,Perry,Abbeville,28_111,45_001,outflow_16_20_South Carolina.csv,2016,2020
36,119,45,001,New York,Westchester County,959290.0,697.0,865815.0,3513.0,85259.0,3387.0,47651.0,2551.0,26371.0,1811.0,11237.0,1145.0,8216.0,975.0,South Carolina,Abbeville County,23966.0,673.0,21797.0,595.0,2169.0,410.0,662.0,260.0,1316.0,367.0,191.0,141.0,,,110.0,168.0,Westchester,Abbeville,36_119,45_001,outflow_16_20_South Carolina.csv,2016,2020
37,195,45,001,North Carolina,Wilson County,80888.0,201.0,71667.0,1198.0,9003.0,1206.0,5788.0,1086.0,2572.0,573.0,643.0,236.0,218.0,111.0,South Carolina,Abbeville County,23966.0,673.0,21797.0,595.0,2169.0,410.0,662.0,260.0,1316.0,367.0,191.0,141.0,,,11.0,22.0,Wilson,Abbeville,37_195,45_001,outflow_16_20_South Carolina.csv,2016,2020
39,063,45,001,Ohio,Hancock County,74913.0,209.0,63421.0,1026.0,11176.0,1062.0,6639.0,896.0,3165.0,577.0,1372.0,312.0,316.0,171.0,South Carolina,Abbeville County,23966.0,673.0,21797.0,595.0,2169.0,410.0,662.0,260.0,1316.0,367.0,191.0,141.0,,,9.0,13.0,Hancock,Abbeville,39_063,45_001,outflow_16_20_South Carolina.csv,2016,2020
45,003,45,001,South Carolina,Aiken County,167586.0,473.0,147358.0,1625.0,20078.0,1570.0,10171.0,1111.0,3037.0,633.0,6870.0,1269.0,150.0,165.0,South Carolina,Abbeville County,23966.0,673.0,21797.0,595.0,2169.0,410.0,662.0,260.0,1316.0,367.0,191.0,141.0,,,52.0,44.0,Aiken,Abbeville,45_003,45_001,outflow_16_20_South Carolina.csv,2016,2020
45,005,45,001,South Carolina,Allendale County,8678.0,113.0,7722.0,289.0,909.0,288.0,170.0,134.0,619.0,201.0,120.0,121.0,47.0,70.0,South Carolina,Abbeville County,23966.0,673.0,21797.0,595.0,2169.0,410.0,662.0,260.0,1316.0,367.0,191.0,141.0,,,26.0,49.0,Allendale,Abbeville,45_005,45_001,outflow_16_20_South Carolina.csv,2016,2020
45,007,45,001,South Carolina,Anderson County,197888.0,288.0,170770.0,2042.0,26676.0,2036.0,14443.0,1752.0,7540.0,1098.0,4693.0,655.0,442.0,196.0,South Carolina,Abbeville County,23966.0,673.0,21797.0,595.0,2169.0,410.0,662.0,260.0,1316.0,367.0,191.0,141.0,,,50.0,42.0,Anderson,Abbeville,45_007,45_001,outflow_16_20_South Carolina.csv,2016,2020
45,011,45,001,South Carolina,Barnwell County,20967.0,109.0,18529.0,493.0,2405.0,486.0,859.0,346.0,1108.0,435.0,438.0,203.0,33.0,44.0,South Carolina,Abbeville County,23966.0,673.0,21797.0,595.0,2169.0,410.0,662.0,260.0,1316.0,367.0,191.0,141.0,,,10.0,18.0,Barnwell,Abbeville,45_011,45_001,outflow_16_20_South Carolina.csv,2016,2020
