origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
001,097,047,001,Alabama,Mobile County,408424.0,690.0,360820.0,2949.0,46870.0,2922.0,35108.0,2758.0,4522.0,895.0,7240.0,910.0,734.0,262.0,Tennessee,Anderson County,75511.0,1207.0,64353.0,1248.0,11158.0,1097.0,5396.0,944.0,4228.0,510.0,1534.0,463.0,,,58.0,89.0,Mobile,Anderson,outflow_16_20_Tennessee.csv
006,037,047,001,California,Los Angeles County,9934933.0,2213.0,8950027.0,12213.0,918869.0,12239.0,717388.0,10582.0,103932.0,3158.0,97549.0,3221.0,66037.0,2494.0,Tennessee,Anderson County,75511.0,1207.0,64353.0,1248.0,11158.0,1097.0,5396.0,944.0,4228.0,510.0,1534.0,463.0,,,31.0,48.0,Los Angeles,Anderson,outflow_16_20_Tennessee.csv
008,005,047,001,Colorado,Arapahoe County,642707.0,693.0,529971.0,4060.0,108458.0,4021.0,48580.0,2953.0,38187.0,2071.0,21691.0,1738.0,4278.0,815.0,Tennessee,Anderson County,75511.0,1207.0,64353.0,1248.0,11158.0,1097.0,5396.0,944.0,4228.0,510.0,1534.0,463.0,,,7.0,8.0,Arapahoe,Anderson,outflow_16_20_Tennessee.csv
008,031,047,001,Colorado,Denver County,707712.0,701.0,567350.0,4796.0,135513.0,4720.0,58132.0,2971.0,41327.0,2525.0,36054.0,2424.0,4849.0,792.0,Tennessee,Anderson County,75511.0,1207.0,64353.0,1248.0,11158.0,1097.0,5396.0,944.0,4228.0,510.0,1534.0,463.0,,,17.0,26.0,Denver,Anderson,outflow_16_20_Tennessee.csv
008,041,047,001,Colorado,El Paso County,701947.0,668.0,554323.0,4808.0,141433.0,4695.0,77796.0,3477.0,16464.0,1690.0,47173.0,2769.0,6191.0,852.0,Tennessee,Anderson County,75511.0,1207.0,64353.0,1248.0,11158.0,1097.0,5396.0,944.0,4228.0,510.0,1534.0,463.0,,,40.0,61.0,El Paso,Anderson,outflow_16_20_Tennessee.csv
012,057,047,001,Florida,Hillsborough County,1434497.0,1043.0,1177447.0,6791.0,240333.0,6326.0,155219.0,5524.0,42046.0,2538.0,43068.0,2491.0,16717.0,1822.0,Tennessee,Anderson County,75511.0,1207.0,64353.0,1248.0,11158.0,1097.0,5396.0,944.0,4228.0,510.0,1534.0,463.0,,,23.0,26.0,Hillsborough,Anderson,outflow_16_20_Tennessee.csv
012,101,047,001,Florida,Pasco County,534640.0,682.0,459360.0,3166.0,72647.0,3122.0,32866.0,2418.0,23995.0,1930.0,15786.0,1639.0,2633.0,482.0,Tennessee,Anderson County,75511.0,1207.0,64353.0,1248.0,11158.0,1097.0,5396.0,944.0,4228.0,510.0,1534.0,463.0,,,7.0,13.0,Pasco,Anderson,outflow_16_20_Tennessee.csv
012,105,047,001,Florida,Polk County,698222.0,771.0,594427.0,4721.0,98262.0,4791.0,49573.0,3589.0,26015.0,2431.0,22674.0,2365.0,5533.0,968.0,Tennessee,Anderson County,75511.0,1207.0,64353.0,1248.0,11158.0,1097.0,5396.0,944.0,4228.0,510.0,1534.0,463.0,,,4.0,9.0,Polk,Anderson,outflow_16_20_Tennessee.csv
012,117,047,001,Florida,Seminole County,462951.0,529.0,391580.0,3109.0,67222.0,3046.0,29127.0,2265.0,23342.0,2000.0,14753.0,1538.0,4149.0,715.0,Tennessee,Anderson County,75511.0,1207.0,64353.0,1248.0,11158.0,1097.0,5396.0,944.0,4228.0,510.0,1534.0,463.0,,,6.0,10.0,Seminole,Anderson,outflow_16_20_Tennessee.csv
013,047,047,001,Georgia,Catoosa County,66821.0,156.0,58999.0,1069.0,7765.0,1045.0,2984.0,607.0,2305.0,530.0,2476.0,661.0,57.0,72.0,Tennessee,Anderson County,75511.0,1207.0,64353.0,1248.0,11158.0,1097.0,5396.0,944.0,4228.0,510.0,1534.0,463.0,,,18.0,28.0,Catoosa,Anderson,outflow_16_20_Tennessee.csv
