origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
002,110,051,001,Alaska,Juneau City and Borough,31821.0,77.0,26542.0,709.0,4990.0,722.0,3073.0,670.0,615.0,199.0,1302.0,361.0,289.0,139.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,2.0,5.0,Juneau City and Borough,Accomack,outflow_16_20_Virginia.csv
010,003,051,001,Delaware,New Castle County,553308.0,612.0,485423.0,3069.0,65154.0,3128.0,41522.0,2331.0,4112.0,919.0,19520.0,1521.0,2731.0,478.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,12.0,29.0,New Castle,Accomack,outflow_16_20_Virginia.csv
010,005,051,001,Delaware,Sussex County,227945.0,371.0,203698.0,1739.0,23592.0,1720.0,11515.0,1402.0,2714.0,463.0,9363.0,978.0,655.0,247.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,109.0,100.0,Sussex,Accomack,outflow_16_20_Virginia.csv
012,009,051,001,Florida,Brevard County,588586.0,619.0,508454.0,3740.0,76605.0,3575.0,44918.0,2957.0,10557.0,997.0,21130.0,1887.0,3527.0,934.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,35.0,39.0,Brevard,Accomack,outflow_16_20_Virginia.csv
012,021,051,001,Florida,Collier County,376472.0,418.0,314742.0,3468.0,56750.0,3553.0,31316.0,2768.0,8370.0,1360.0,17064.0,2016.0,4980.0,1149.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,49.0,84.0,Collier,Accomack,outflow_16_20_Virginia.csv
012,079,051,001,Florida,Madison County,18475.0,47.0,16013.0,428.0,2329.0,409.0,764.0,303.0,1401.0,250.0,164.0,147.0,133.0,143.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,42.0,52.0,Madison,Accomack,outflow_16_20_Virginia.csv
012,115,051,001,Florida,Sarasota County,424762.0,425.0,358389.0,2911.0,64088.0,2949.0,32699.0,2039.0,11314.0,1030.0,20075.0,1735.0,2285.0,460.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,28.0,50.0,Sarasota,Accomack,outflow_16_20_Virginia.csv
024,005,051,001,Maryland,Baltimore County,819788.0,585.0,720969.0,3993.0,93423.0,3670.0,51877.0,2646.0,27924.0,1848.0,13622.0,1515.0,5396.0,900.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,31.0,48.0,Baltimore,Accomack,outflow_16_20_Virginia.csv
024,019,051,001,Maryland,Dorchester County,31627.0,97.0,28304.0,559.0,3309.0,537.0,2452.0,452.0,645.0,189.0,212.0,88.0,14.0,16.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,25.0,38.0,Dorchester,Accomack,outflow_16_20_Virginia.csv
024,037,051,001,Maryland,St. Mary's County,111853.0,247.0,96331.0,1612.0,15029.0,1500.0,7355.0,1252.0,4096.0,863.0,3578.0,668.0,493.0,278.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,18.0,31.0,St. Mary's,Accomack,outflow_16_20_Virginia.csv
024,045,051,001,Maryland,Wicomico County,102479.0,216.0,83712.0,1580.0,18011.0,1610.0,10905.0,1328.0,3429.0,652.0,3677.0,876.0,756.0,496.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,310.0,298.0,Wicomico,Accomack,outflow_16_20_Virginia.csv
024,047,051,001,Maryland,Worcester County,51446.0,178.0,44539.0,838.0,6819.0,837.0,3728.0,686.0,1874.0,349.0,1217.0,388.0,88.0,50.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,92.0,79.0,Worcester,Accomack,outflow_16_20_Virginia.csv
026,163,051,001,Michigan,Wayne County,1730488.0,1081.0,1517976.0,5597.0,204026.0,5605.0,148508.0,4817.0,37011.0,2180.0,18507.0,1565.0,8486.0,881.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,13.0,21.0,Wayne,Accomack,outflow_16_20_Virginia.csv
037,027,051,001,North Carolina,Caldwell County,81557.0,158.0,71334.0,1238.0,10120.0,1200.0,5500.0,896.0,3135.0,556.0,1485.0,539.0,103.0,85.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,7.0,16.0,Caldwell,Accomack,outflow_16_20_Virginia.csv
037,039,051,001,North Carolina,Cherokee County,28201.0,91.0,24584.0,741.0,3562.0,703.0,1781.0,494.0,685.0,264.0,1096.0,334.0,55.0,67.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,7.0,14.0,Cherokee,Accomack,outflow_16_20_Virginia.csv
037,077,051,001,North Carolina,Granville County,59311.0,192.0,52114.0,948.0,7112.0,899.0,2433.0,602.0,3585.0,596.0,1094.0,386.0,85.0,94.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,21.0,37.0,Granville,Accomack,outflow_16_20_Virginia.csv
039,007,051,001,Ohio,Ashtabula County,96266.0,242.0,83975.0,1008.0,12239.0,983.0,7571.0,865.0,3058.0,548.0,1610.0,350.0,52.0,35.0,Virginia,Accomack County,34352.0,1108.0,29413.0,651.0,4939.0,1218.0,1362.0,489.0,2127.0,859.0,1450.0,667.0,,,4.0,7.0,Ashtabula,Accomack,outflow_16_20_Virginia.csv
