Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
013,001,012,031,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,Florida,Duval County,830165,3778,664346,4998,165584,4532,113622,4035,22870,1841,29092,2096,235,154,19,31
013,001,013,005,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,Georgia,Bacon County,9441,649,8286,627,1155,456,764,405,330,204,61,59,,,178,180
013,001,013,051,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,Georgia,Chatham County,247426,2163,205996,2207,41353,2311,21293,1637,8714,943,11346,1323,77,68,15,24
013,001,013,087,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,Georgia,Decatur County,27961,826,24171,671,3790,766,2190,575,1116,391,484,273,,,8,24
013,001,013,127,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,Georgia,Glynn County,71821,1064,60123,1286,11698,1256,7310,1022,2494,488,1894,381,,,31,46
013,001,013,161,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,Georgia,Jeff Davis County,12769,500,10902,549,1867,479,1055,415,617,285,195,126,,,11,19
013,001,013,229,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,Georgia,Pierce County,16640,844,14112,897,2528,778,1334,630,809,314,385,326,,,58,86
013,001,013,275,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,Georgia,Thomas County,44529,955,36998,1298,7531,1362,4513,979,1743,518,1275,514,,,11,18
013,001,013,279,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,Georgia,Toombs County,27638,782,23373,731,4265,984,2022,671,1564,434,679,400,,,62,87
013,001,013,305,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,Georgia,Wayne County,28176,799,24014,660,4143,679,2115,432,1100,324,928,434,19,30,3,5
013,001,026,163,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,Michigan,Wayne County,1989373,5342,1668821,6613,320508,7231,226903,6010,56082,3074,37523,2518,44,60,9,13
013,001,036,059,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,New York,Nassau County,1354814,3563,1240158,4131,114626,4675,60521,3535,27643,1646,26462,1765,30,36,19,32
013,001,039,057,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,Ohio,Greene County,152447,1920,128193,1740,24254,1694,11980,1208,7126,752,5148,801,,,2,6
013,001,045,019,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,South Carolina,Charleston County,338161,3012,276573,2919,61588,2647,33485,2021,14230,1403,13873,1298,,,27,45
013,001,048,201,Georgia,Appling County,17594,109,15764,578,1830,573,1322,534,377,224,131,89,,,Texas,Harris County,3799782,7697,3078709,10666,720853,11441,543415,10395,112535,3939,64903,3114,220,131,55,86
013,003,002,020,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Alaska,Anchorage Municipality,289935,3312,210426,2824,79509,3058,40186,2078,6453,692,32870,2166,,,6,9
013,003,004,021,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Arizona,Pinal County,267155,3414,220095,3651,46945,2923,24302,2293,16091,1697,6552,693,115,182,9,16
013,003,012,073,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Florida,Leon County,250625,2159,184918,2677,65669,2682,46581,2285,11022,884,8066,844,38,62,32,44
013,003,012,086,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Florida,Miami-Dade County,2432452,6426,2064866,7611,366130,8522,261685,6790,58861,3706,45584,2611,1456,360,7,11
013,003,013,001,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464,266,,,3,6
013,003,013,019,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Georgia,Berrien County,17102,545,13503,808,3599,774,1905,657,1381,444,313,236,,,6,8
013,003,013,025,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Georgia,Brantley County,15478,513,14210,362,1268,410,313,172,832,330,123,88,,,51,48
013,003,013,065,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Georgia,Clinch County,7029,374,5894,318,1135,369,613,244,508,287,14,23,,,15,23
013,003,013,069,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Georgia,Coffee County,40846,861,35476,699,5370,878,2641,475,2282,580,447,206,,,193,147
013,003,013,071,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Georgia,Colquitt County,42850,890,34899,1134,7951,1246,6052,1156,1331,319,568,354,,,31,34
013,003,013,075,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Georgia,Cook County,15753,534,13062,492,2691,571,1834,413,627,299,230,211,,,4,6
013,003,013,215,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Georgia,Muscogee County,174365,2534,137911,2378,36416,1979,21478,1413,5396,914,9542,1066,38,62,5,8
013,003,013,299,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Georgia,Ware County,35742,964,29699,902,6043,932,2874,590,2617,746,552,223,,,6,9
013,003,013,319,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Georgia,Wilkinson County,10144,419,8800,432,1344,484,591,319,665,354,88,103,,,6,9
013,003,026,021,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Michigan,Berrien County,162256,1533,135877,1392,26363,1820,15843,1286,4033,550,6487,1275,16,27,27,42
013,003,034,001,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,New Jersey,Atlantic County,264522,2209,231256,2908,33022,1983,20598,1905,5268,776,7156,873,244,257,6,9
013,003,037,101,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,North Carolina,Johnston County,153614,1886,135225,1723,18389,1642,9362,1324,6293,861,2734,779,,,6,10
013,003,037,133,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,North Carolina,Onslow County,149460,2648,107098,2146,42362,2609,19711,1734,4599,789,18052,1632,,,14,22
013,003,045,035,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,South Carolina,Dorchester County,119425,1761,101760,1602,17665,1866,7418,1093,5795,940,4452,838,,,16,25
013,003,CAM,000,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320,165,123,65,43,43,Central America,-,,,,,,,,,,,,,,,43,43
013,005,001,069,Georgia,Bacon County,10361,88,8286,627,2075,605,764,405,798,260,513,540,,,Alabama,Houston County,95001,997,81756,728,13245,1042,8087,586,3099,525,2059,593,,,9,16
013,005,012,081,Georgia,Bacon County,10361,88,8286,627,2075,605,764,405,798,260,513,540,,,Florida,Manatee County,304482,2459,256496,2800,47968,2695,29423,2193,10120,1254,8425,988,18,21,434,535
013,005,013,001,Georgia,Bacon County,10361,88,8286,627,2075,605,764,405,798,260,513,540,,,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464,266,,,54,42
