Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
022,001,001,097,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Alabama,Mobile County,401131,2330,341967,2754,59164,3174,42234,2491,5073,713,11857,1632,,,29,44
022,001,001,125,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Alabama,Tuscaloosa County,168917,1914,139762,2097,29155,1893,20417,1731,4609,650,4129,618,,,14,22
022,001,006,013,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,California,Contra Costa County,1000914,3442,852992,5650,147922,5588,94954,5006,37903,2004,15065,1442,,,8,16
022,001,006,037,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,California,Los Angeles County,9724599,9720,8385192,16130,1338968,17409,966637,14727,210484,5947,161847,4541,439,272,29,41
022,001,008,005,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Colorado,Arapahoe County,531127,3677,440783,3280,90332,3331,42087,2280,32771,1872,15474,1269,12,19,14,25
022,001,008,045,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Colorado,Garfield County,52009,1054,42277,926,9732,1068,5006,784,2554,729,2172,457,,,8,13
022,001,009,003,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Connecticut,Hartford County,864500,2839,753028,3572,110505,3917,74302,3142,14755,1193,21448,1400,967,342,22,33
022,001,012,031,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Florida,Duval County,830165,3778,664346,4998,165584,4532,113622,4035,22870,1841,29092,2096,235,154,72,112
022,001,020,013,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Kansas,Brown County,9927,211,8467,244,1460,288,845,218,511,145,104,80,,,40,64
022,001,022,005,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Ascension Parish,95766,1264,83554,1414,12212,1655,6679,1222,3861,793,1672,510,,,17,27
022,001,022,009,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Avoyelles Parish,40002,711,34360,958,5642,910,4022,810,1182,362,438,219,,,15,21
022,001,022,019,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Calcasieu Parish,181286,1660,145893,2341,35393,2369,25373,2032,5585,969,4435,681,,,124,108
022,001,022,033,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,East Baton Rouge Parish,417812,2825,337813,3563,79968,3333,54530,2808,14419,1428,11019,1245,31,49,41,50
022,001,022,039,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Evangeline Parish,34168,957,28798,1089,5370,902,3466,762,1557,445,347,170,,,57,87
022,001,022,041,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Franklin Parish,19325,553,16432,611,2893,607,1647,436,901,307,345,234,,,4,9
022,001,022,051,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Jefferson Parish,440265,3404,365025,3783,75205,3122,36880,2676,19434,1513,18891,1581,35,42,22,41
022,001,022,053,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Jefferson Davis Parish,29782,629,25870,827,3912,740,2898,675,868,269,146,100,,,144,108
022,001,022,055,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Lafayette Parish,200960,1674,169122,1826,31838,1992,19339,1579,6461,800,6038,1062,,,698,309
022,001,022,071,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Orleans Parish,367376,5045,245553,3633,121791,4648,41480,3166,30646,2490,49665,2730,32,36,30,47
022,001,022,075,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Plaquemines Parish,24472,992,18881,840,5591,969,1632,496,2437,733,1522,393,,,12,20
022,001,022,097,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,St. Landry Parish,90085,1435,78850,1319,11235,1385,6912,884,3646,991,677,385,,,444,378
022,001,022,099,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,St. Martin Parish,49560,1169,45649,1062,3911,742,1849,412,1708,541,354,197,,,64,114
022,001,022,101,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,St. Mary Parish,51415,903,43053,894,8362,1117,5159,784,2159,613,1044,358,,,23,36
022,001,022,109,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Terrebonne Parish,108066,1137,92557,1519,15509,1632,10262,1308,3335,772,1912,472,,,58,60
022,001,022,113,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Vermilion Parish,54772,660,48446,925,6326,971,4237,877,1545,349,544,288,,,97,100
022,001,022,115,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Vernon Parish,46849,1493,34391,932,12458,1361,4445,533,1633,397,6380,1088,,,48,77
022,001,022,117,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Louisiana,Washington Parish,44061,1026,37343,1113,6718,1098,4073,1032,1647,670,998,365,,,49,80
022,001,028,047,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Mississippi,Harrison County,181094,3056,137897,2650,43197,2278,22383,1848,6814,1103,14000,1567,,,3,5
022,001,036,047,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,New York,Kings County,2544049,5627,2269307,5310,273424,6396,146802,4948,60165,3155,66457,2999,1318,315,48,76
022,001,040,109,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Oklahoma,Oklahoma County,685707,3636,535912,4409,149795,4732,102595,3919,28093,2087,19107,1675,,,45,71
022,001,048,113,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Texas,Dallas County,2350454,6962,1875620,9292,474603,10489,321970,8469,109479,4260,43154,2577,231,163,16,25
022,001,048,135,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Texas,Ector County,125077,1484,103281,1747,21796,1787,14924,1288,5051,818,1821,517,,,115,164
022,001,048,201,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Texas,Harris County,3799782,7697,3078709,10666,720853,11441,543415,10395,112535,3939,64903,3114,220,131,50,55
022,001,048,245,Louisiana,Acadia Parish,58882,181,51210,1187,7465,1179,4865,931,1947,577,653,238,207,121,Texas,Jefferson County,241332,2112,195863,2453,45455,2626,27305,1974,14406,1429,3744,649,14,23,73,85
