Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
039,001,004,025,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Arizona,Yavapai County,204103,2051,171335,2504,32768,2283,19147,1923,6079,841,7542,1002,,,5,9
039,001,006,013,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,California,Contra Costa County,1000914,3442,852992,5650,147922,5588,94954,5006,37903,2004,15065,1442,,,22,31
039,001,021,017,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Kentucky,Bourbon County,19407,522,15740,650,3667,744,2135,604,1417,423,115,82,,,23,38
039,001,021,187,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Kentucky,Owen County,11239,447,9672,284,1567,447,696,229,862,354,9,11,,,5,8
039,001,024,001,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Maryland,Allegany County,69779,1015,60140,1131,9639,988,6059,745,1644,391,1936,422,,,27,31
039,001,026,041,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Michigan,Delta County,36973,465,32956,680,4017,586,2545,427,660,180,812,274,,,52,77
039,001,026,125,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Michigan,Oakland County,1191211,3785,1030982,4435,160148,4445,92068,3577,40782,2099,27298,2118,81,89,33,46
039,001,030,029,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Montana,Flathead County,87015,1142,77458,990,9557,1164,4588,670,1794,376,3175,767,,,9,14
039,001,031,055,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Nebraska,Douglas County,489280,2025,395401,2595,93864,2806,63596,2480,13041,1201,17227,1341,15,24,16,24
039,001,032,031,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Nevada,Washoe County,393167,2428,313480,3016,79687,3371,57482,3076,5085,911,17120,1663,,,29,42
039,001,037,019,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,North Carolina,Brunswick County,96811,1494,83541,1420,13270,1445,7126,1183,3779,892,2365,456,,,20,33
039,001,037,099,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,North Carolina,Jackson County,34442,983,28429,1128,6013,902,3579,650,1366,424,1068,376,,,2,4
039,001,039,003,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Allen County,103292,1148,87146,1308,16146,1167,10590,1001,4040,582,1516,324,,,15,24
039,001,039,009,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Athens County,57423,1267,41315,995,16108,1453,10275,1036,3537,526,2296,658,,,31,39
039,001,039,015,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Brown County,44003,854,38553,728,5450,907,3007,668,1882,652,561,278,,,58,45
039,001,039,025,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Clermont County,189214,1749,164294,2110,24920,1760,13656,1376,7161,892,4103,632,,,239,167
039,001,039,027,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Clinton County,41954,761,35144,826,6810,877,3598,666,2420,491,792,340,,,10,17
039,001,039,061,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Hamilton County,842761,3521,693940,4492,148821,4529,104939,3980,20918,1545,22964,1584,,,59,53
039,001,039,071,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Highland County,41970,859,34480,893,7490,1018,4470,817,2731,662,289,126,,,233,223
039,001,039,087,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Lawrence County,62409,817,54146,981,8263,908,5292,786,683,216,2288,500,,,8,14
039,001,039,097,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Madison County,40021,984,33447,757,6574,779,2959,591,2990,507,625,416,,,20,28
039,001,039,101,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Marion County,63852,797,52179,1039,11673,1069,7786,913,3058,481,829,278,,,9,15
039,001,039,113,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Montgomery County,536851,2640,434757,3450,102079,3725,70158,3278,17795,1758,14126,1362,15,16,20,30
039,001,039,129,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Pickaway County,49888,806,43237,867,6651,872,3514,572,2589,491,548,236,,,4,6
039,001,039,131,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Pike County,27867,717,23266,666,4601,785,2558,539,1722,481,321,121,,,50,89
039,001,039,145,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Scioto County,75619,949,63867,1017,11752,1247,7902,961,2566,545,1284,339,,,62,58
039,001,039,165,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Ohio,Warren County,196844,1835,171721,2071,25123,1857,12381,1327,8700,855,4042,611,,,21,23
039,001,051,550,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Virginia,Chesapeake city,217586,2057,186286,1777,31300,1955,10816,1208,12597,1161,7887,987,,,14,22
039,001,053,033,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Washington,King County,1813296,5742,1479270,6462,333988,6100,227481,5200,52492,2353,54015,2672,38,62,10,19
039,001,055,025,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,Wisconsin,Dane County,465766,2710,367660,2898,98106,2949,69643,2462,13185,994,15278,1485,,,134,185
039,001,SAM,000,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38,58,South America,-,,,,,,,,,,,,,,,38,58
039,003,002,020,Ohio,Allen County,103588,216,87146,1308,16226,1273,10590,1001,3335,531,2301,646,216,96,Alaska,Anchorage Municipality,289935,3312,210426,2824,79509,3058,40186,2078,6453,692,32870,2166,,,112,130
039,003,006,037,Ohio,Allen County,103588,216,87146,1308,16226,1273,10590,1001,3335,531,2301,646,216,96,California,Los Angeles County,9724599,9720,8385192,16130,1338968,17409,966637,14727,210484,5947,161847,4541,439,272,136,174
039,003,006,101,Ohio,Allen County,103588,216,87146,1308,16226,1273,10590,1001,3335,531,2301,646,216,96,California,Sutter County,88938,1314,74093,1320,14845,1580,8396,1082,4955,896,1494,467,,,8,14
039,003,008,005,Ohio,Allen County,103588,216,87146,1308,16226,1273,10590,1001,3335,531,2301,646,216,96,Colorado,Arapahoe County,531127,3677,440783,3280,90332,3331,42087,2280,32771,1872,15474,1269,12,19,89,127
039,003,009,013,Ohio,Allen County,103588,216,87146,1308,16226,1273,10590,1001,3335,531,2301,646,216,96,Connecticut,Tolland County,142594,1568,122033,1292,20561,1645,11132,1240,6160,825,3269,521,,,18,29
039,003,012,057,Ohio,Allen County,103588,216,87146,1308,16226,1273,10590,1001,3335,531,2301,646,216,96,Florida,Hillsborough County,1147449,4261,918416,5632,227932,6068,152269,4424,39586,2428,36077,2132,1101,396,12,18
