Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
041,001,002,170,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Alaska,Matanuska-Susitna Borough,80085,1499,65819,1300,14266,1215,6661,708,3008,611,4597,792,,,31,49
041,001,004,013,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Arizona,Maricopa County,3722654,7682,2993298,11083,729328,10990,569170,9886,47055,2726,113103,4066,28,36,59,53
041,001,006,071,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,California,San Bernardino County,1936073,6307,1611008,8626,325003,8714,215908,6913,67794,3132,41301,2686,62,51,43,66
041,001,006,093,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,California,Siskiyou County,43992,945,37195,827,6797,916,3634,559,1733,539,1430,421,,,25,37
041,001,006,099,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,California,Stanislaus County,498767,2420,404580,4014,94177,4259,68597,3792,16946,1560,8634,1450,10,16,17,26
041,001,006,103,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,California,Tehama County,59766,1119,49681,1171,10085,1183,6305,898,2662,747,1118,535,,,12,18
041,001,008,067,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Colorado,La Plata County,48455,948,38441,837,10014,1024,5637,697,1597,430,2780,524,,,50,74
041,001,009,015,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Connecticut,Windham County,114063,1254,98916,1522,15107,1304,9075,1032,3126,479,2906,594,40,62,8,13
041,001,016,001,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Idaho,Ada County,355622,2780,281642,3030,73914,3077,49573,2523,10386,1337,13955,1355,66,83,30,56
041,001,016,055,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Idaho,Kootenai County,130313,1326,108335,1779,21978,1772,14572,1699,1894,398,5512,806,,,49,69
041,001,016,075,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Idaho,Payette County,22720,966,18849,749,3871,804,1373,423,1013,474,1485,637,,,13,20
041,001,016,083,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Idaho,Twin Falls County,71591,1176,59703,1125,11888,1207,6942,871,2990,655,1956,529,,,5,9
041,001,016,087,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Idaho,Washington County,9502,401,7941,426,1561,481,850,360,357,155,354,185,,,2,3
041,001,017,201,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Illinois,Winnebago County,292267,1810,250610,2032,41657,2363,28788,1684,5659,754,7210,994,,,10,25
041,001,029,029,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Missouri,Camden County,39106,962,33091,734,6015,942,2959,664,2301,610,755,247,,,75,103
041,001,030,081,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Montana,Ravalli County,39419,772,33082,906,6337,909,3833,743,1249,436,1255,274,,,9,17
041,001,040,137,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oklahoma,Stephens County,41558,669,34473,987,7085,1193,4459,988,1754,361,872,359,,,7,10
041,001,041,003,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Benton County,76863,1172,58788,1063,18075,1081,10467,877,5415,658,2193,409,,,42,58
041,001,041,007,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Clatsop County,35973,911,28788,784,7185,1003,4203,664,1244,405,1738,608,,,8,14
041,001,041,009,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Columbia County,47522,701,41446,682,6076,791,3239,532,1639,395,1198,364,,,5,8
041,001,041,015,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Curry County,22107,662,17821,660,4286,768,2126,564,1416,481,744,223,,,18,28
041,001,041,017,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Deschutes County,149277,1600,125134,1608,24143,1600,14644,1166,4365,491,5134,830,,,42,46
041,001,041,019,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Douglas County,101790,943,84874,1552,16916,1351,11642,1268,2513,430,2761,562,,,18,29
041,001,041,023,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Grant County,7014,230,5916,164,1098,234,578,142,433,172,87,62,,,90,103
041,001,041,035,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Klamath County,65432,972,52858,998,12550,1037,8184,834,2432,545,1934,414,24,38,22,33
041,001,041,039,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Lane County,331928,2133,262673,2216,69255,2521,50540,2087,9828,1091,8887,1005,,,39,48
041,001,041,041,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Lincoln County,46519,745,39286,665,7233,826,3134,527,2226,386,1873,504,,,21,34
041,001,041,045,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Malheur County,30659,760,25383,683,5276,712,2240,478,768,197,2268,561,,,30,35
041,001,041,051,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Multnomah County,687827,3638,547571,3612,140228,4319,85114,3074,28129,2158,26985,1829,28,44,40,50
041,001,041,059,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Umatilla County,71756,1061,57992,1270,13764,1237,8511,1019,2829,498,2424,574,,,117,130
041,001,041,061,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Union County,24681,663,19733,627,4948,791,2974,515,1160,380,814,386,,,131,94
041,001,041,063,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Wallowa County,6939,266,5924,195,1015,266,451,169,186,107,378,171,,,16,25
041,001,041,069,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Oregon,Wheeler County,1314,181,1178,171,136,67,66,32,70,56,,,,,9,16
041,001,048,027,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Texas,Bell County,260531,2801,195202,3127,65289,3043,34774,2426,14509,1314,16006,1555,40,47,5,7
041,001,053,023,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Washington,Garfield County,1968,97,1822,105,146,87,89,67,,,57,53,,,20,32
041,001,053,039,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Washington,Klickitat County,20202,599,17165,449,3037,610,1300,369,821,308,916,407,,,11,15
041,001,054,011,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,West Virginia,Cabell County,91692,1314,75688,1360,16004,1321,10482,1102,2446,557,3076,508,,,7,12
041,001,ASI,000,Oregon,Baker County,15854,78,13251,466,2593,425,1457,362,648,189,488,217,10,17,Asia,-,,,,,,,,,,,,,,,10,17
