Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS Municipio Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS Municipio/ County Code,State of Current Residence,Muncipio of Current Residence,Municipio of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,Municipio/County of Residence 1 Year Ago,Municipio/County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within Puerto Rico,,Movers within Same Municipio,,Movers from Different Municipio,,Movers from U.S.,,Movers from Elsewhere1,,,,Population 1 Year and Over,,Nonmovers,,Movers within Puerto Rico or United States2,,Movers within Same Municipio/County,,"Movers to Different Municipio or County, Same State",,Movers to Different State3,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
072,001,036,047,Puerto Rico,Adjuntas Municipio,18310,82,17440,276,782,282,630,260,152,110,60,69,28,45,New York,Kings County,2544049,5627,2269307,5310,273424,6396,146802,4948,60165,3155,66457,2999,1318,315,24,39
072,001,048,223,Puerto Rico,Adjuntas Municipio,18310,82,17440,276,782,282,630,260,152,110,60,69,28,45,Texas,Hopkins County,32920,712,27783,728,5101,725,3307,568,1366,386,428,199,36,58,36,58
072,001,072,021,Puerto Rico,Adjuntas Municipio,18310,82,17440,276,782,282,630,260,152,110,60,69,28,45,Puerto Rico,Bayamón Municipio,214319,1181,196841,1398,17478,1221,10625,928,6853,849,,,,,27,40
072,001,072,043,Puerto Rico,Adjuntas Municipio,18310,82,17440,276,782,282,630,260,152,110,60,69,28,45,Puerto Rico,Coamo Municipio,39276,482,36660,494,2616,576,1615,457,1001,348,,,,,45,55
072,001,072,081,Puerto Rico,Adjuntas Municipio,18310,82,17440,276,782,282,630,260,152,110,60,69,28,45,Puerto Rico,Lares Municipio,37269,487,34672,647,2597,568,1887,514,710,271,,,,,36,58
072,001,072,113,Puerto Rico,Adjuntas Municipio,18310,82,17440,276,782,282,630,260,152,110,60,69,28,45,Puerto Rico,Ponce Municipio,174100,943,158364,1532,15736,1410,12915,1260,2821,540,,,,,10,19
072,001,072,127,Puerto Rico,Adjuntas Municipio,18310,82,17440,276,782,282,630,260,152,110,60,69,28,45,Puerto Rico,San Juan Municipio,410511,1935,368481,2301,42030,2412,30902,1756,11128,1280,,,,,23,40
