Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
047,001,001,103,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Alabama,Morgan County,114163,1225,96729,1149,17434,1292,10952,986,4663,760,1819,427,,,11,20
047,001,004,013,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Arizona,Maricopa County,3722654,7682,2993298,11083,729328,10990,569170,9886,47055,2726,113103,4066,28,36,15,27
047,001,004,017,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Arizona,Navajo County,108563,1514,92556,1691,16007,1761,8384,1353,5052,987,2571,505,,,15,25
047,001,004,019,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Arizona,Pima County,952798,3988,766189,5644,186563,6221,143700,5281,15801,1682,27062,1646,46,62,25,40
047,001,004,025,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Arizona,Yavapai County,204103,2051,171335,2504,32768,2283,19147,1923,6079,841,7542,1002,,,17,31
047,001,005,045,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Arkansas,Faulkner County,98884,1343,79508,1356,19376,1432,12112,1173,4409,716,2855,658,,,12,19
047,001,006,037,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,California,Los Angeles County,9724599,9720,8385192,16130,1338968,17409,966637,14727,210484,5947,161847,4541,439,272,202,263
047,001,006,077,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,California,San Joaquin County,645707,2928,526549,4882,119158,4965,88051,4379,22692,1744,8415,1219,,,6,11
047,001,008,009,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Colorado,Baca County,4200,284,3382,120,818,296,239,89,259,136,320,217,,,13,25
047,001,012,005,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Florida,Bay County,158989,2161,124512,1906,34477,2350,21885,1785,4808,781,7784,1141,,,15,25
047,001,012,009,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Florida,Brevard County,523789,3164,448165,3644,75557,3358,47486,2620,12529,1336,15542,1672,67,62,21,24
047,001,012,071,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Florida,Lee County,550928,3617,464022,3948,86761,3476,59111,2646,11984,1222,15666,1291,145,108,11,19
047,001,012,081,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Florida,Manatee County,304482,2459,256496,2800,47968,2695,29423,2193,10120,1254,8425,988,18,21,18,27
047,001,012,083,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Florida,Marion County,306334,2259,261444,2650,44884,2697,29583,2060,7950,1061,7351,1022,6,10,23,35
047,001,012,095,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Florida,Orange County,1048784,6112,820789,6357,225287,6074,137228,4701,51297,2986,36762,2247,2708,527,16,29
047,001,012,111,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Florida,St. Lucie County,248370,2479,211393,2546,36977,2189,21701,1679,8968,1177,6308,946,,,20,31
047,001,013,121,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Georgia,Fulton County,979207,6790,764369,5679,214633,5967,108571,3949,64379,3302,41683,2288,205,133,12,22
047,001,013,217,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Georgia,Newton County,88935,1842,76470,1835,12465,1251,6482,1084,4899,798,1084,322,,,5,9
047,001,013,245,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Georgia,Richmond County,192491,2557,149588,2361,42848,2741,23656,1876,8144,1051,11048,1515,55,67,45,73
047,001,013,247,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Georgia,Rockdale County,81134,1948,66569,1485,14565,1815,4553,843,7814,1531,2198,617,,,19,31
047,001,017,157,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Illinois,Randolph County,32750,706,28217,525,4533,612,1662,349,1902,462,969,396,,,8,14
047,001,017,197,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Illinois,Will County,651928,3289,578499,3536,73429,3064,38073,2447,24224,1567,11132,1268,,,66,99
047,001,017,203,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Illinois,Woodford County,37392,916,33429,735,3963,572,1594,267,1661,473,708,275,,,15,16
047,001,018,089,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Indiana,Lake County,482271,2428,418211,2755,64032,3051,40643,2492,9679,1092,13710,1469,28,34,42,51
047,001,019,169,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Iowa,Story County,80179,1472,56418,1159,23753,1496,14771,1081,4576,669,4406,770,8,12,94,147
047,001,020,161,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Kansas,Riley County,65243,1523,47332,1691,17896,1216,8602,809,4085,499,5209,660,15,26,38,75
047,001,021,013,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Kentucky,Bell County,29599,863,25115,906,4484,979,2424,733,944,386,1116,549,,,11,17
047,001,021,145,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Kentucky,McCracken County,62766,1026,53090,1087,9676,1174,5872,847,2163,531,1641,440,,,12,19
047,001,022,019,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Louisiana,Calcasieu Parish,181286,1660,145893,2341,35393,2369,25373,2032,5585,969,4435,681,,,58,92
047,001,022,033,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Louisiana,East Baton Rouge Parish,417812,2825,337813,3563,79968,3333,54530,2808,14419,1428,11019,1245,31,49,13,22
047,001,022,051,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Louisiana,Jefferson Parish,440265,3404,365025,3783,75205,3122,36880,2676,19434,1513,18891,1581,35,42,112,168
047,001,022,055,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Louisiana,Lafayette Parish,200960,1674,169122,1826,31838,1992,19339,1579,6461,800,6038,1062,,,20,36
047,001,024,003,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Maryland,Anne Arundel County,497627,2980,433574,2948,63995,2771,31936,1885,15581,1304,16478,1364,58,85,13,21
047,001,026,049,Tennessee,Anderson County,72582,180,61161,1272,11297,1289,5769,916,3868,821,1660,515,124,80,Michigan,Genesee County,433697,1824,365424,2739,68273,2434,47001,2457,13152,1082,8120,986,,,32,50
