Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico2,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
005,001,004,013,Arkansas,Arkansas County,18721,76,15281,538,3331,533,2407,482,629,238,295,129,109,87,Arizona,Maricopa County,3800889,7481,3067321,12603,733520,12578,574235,11769,44611,3308,114674,3970,48,62,22,33
005,001,005,003,Arkansas,Arkansas County,18721,76,15281,538,3331,533,2407,482,629,238,295,129,109,87,Arkansas,Ashley County,22177,543,18755,522,3422,712,2097,524,879,313,446,348,,,30,52
005,001,005,009,Arkansas,Arkansas County,18721,76,15281,538,3331,533,2407,482,629,238,295,129,109,87,Arkansas,Boone County,36755,614,30592,809,6163,821,3617,627,966,275,1580,422,,,9,15
005,001,005,031,Arkansas,Arkansas County,18721,76,15281,538,3331,533,2407,482,629,238,295,129,109,87,Arkansas,Craighead County,95260,1339,74577,1463,20683,1485,14431,1138,3564,640,2688,459,,,37,31
005,001,005,045,Arkansas,Arkansas County,18721,76,15281,538,3331,533,2407,482,629,238,295,129,109,87,Arkansas,Faulkner County,112910,1238,93551,1507,19359,1564,11949,1234,4149,563,3261,806,,,3,6
005,001,005,049,Arkansas,Arkansas County,18721,76,15281,538,3331,533,2407,482,629,238,295,129,109,87,Arkansas,Fulton County,12144,353,10144,475,2000,607,1196,465,675,236,129,66,,,7,12
005,001,005,051,Arkansas,Arkansas County,18721,76,15281,538,3331,533,2407,482,629,238,295,129,109,87,Arkansas,Garland County,94839,1234,79972,1608,14867,1417,9762,1211,3244,602,1861,395,,,11,16
