Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico2,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
038,001,006,099,North Dakota,Adams County,2313,17,2004,101,309,99,118,49,108,72,83,47,,,California,Stanislaus County,507801,2221,415203,3498,92598,3815,71050,3423,16013,1307,5535,966,,,12,19
038,001,022,071,North Dakota,Adams County,2313,17,2004,101,309,99,118,49,108,72,83,47,,,Louisiana,Orleans Parish,350105,2246,288075,2510,62030,2483,36497,2030,12946,1254,12587,1045,,,19,26
038,001,022,103,North Dakota,Adams County,2313,17,2004,101,309,99,118,49,108,72,83,47,,,Louisiana,St. Tammany Parish,230890,2181,202526,2427,28364,2105,17217,1673,5159,748,5988,1056,,,9,13
038,001,027,141,North Dakota,Adams County,2313,17,2004,101,309,99,118,49,108,72,83,47,,,Minnesota,Sherburne County,87512,1733,75326,1703,12186,1238,4733,1051,6205,885,1248,347,,,9,13
038,001,031,185,North Dakota,Adams County,2313,17,2004,101,309,99,118,49,108,72,83,47,,,Nebraska,York County,13244,417,11091,438,2153,392,1167,324,740,205,246,133,,,1,3
038,001,038,003,North Dakota,Adams County,2313,17,2004,101,309,99,118,49,108,72,83,47,,,North Dakota,Barnes County,11191,319,9551,227,1640,328,754,202,465,128,421,186,,,4,5
038,001,038,011,North Dakota,Adams County,2313,17,2004,101,309,99,118,49,108,72,83,47,,,North Dakota,Bowman County,3378,254,2807,105,571,253,99,45,179,84,293,222,,,18,27
