Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico2,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
040,001,005,007,Oklahoma,Adair County,22224,56,20716,313,1492,310,987,215,273,185,232,79,16,18,Arkansas,Benton County,220957,2292,185080,2255,35867,2494,22900,1939,5944,978,7023,1027,10,15,53,31
040,001,005,029,Oklahoma,Adair County,22224,56,20716,313,1492,310,987,215,273,185,232,79,16,18,Arkansas,Conway County,20940,483,18265,487,2675,454,1462,357,749,258,464,200,,,3,7
040,001,005,143,Oklahoma,Adair County,22224,56,20716,313,1492,310,987,215,273,185,232,79,16,18,Arkansas,Washington County,197737,1782,154458,2456,43279,2447,31565,2145,6576,958,5138,693,,,29,32
040,001,012,095,Oklahoma,Adair County,22224,56,20716,313,1492,310,987,215,273,185,232,79,16,18,Florida,Orange County,1143240,4754,922905,6152,218403,5598,144101,4590,43122,2470,31180,1882,1932,465,16,22
040,001,029,119,Oklahoma,Adair County,22224,56,20716,313,1492,310,987,215,273,185,232,79,16,18,Missouri,McDonald County,22617,810,19012,583,3605,907,1514,533,937,500,1154,449,,,19,22
040,001,029,213,Oklahoma,Adair County,22224,56,20716,313,1492,310,987,215,273,185,232,79,16,18,Missouri,Taney County,50627,1129,40315,1222,10312,1196,5977,901,2604,595,1731,449,,,11,15
040,001,031,153,Oklahoma,Adair County,22224,56,20716,313,1492,310,987,215,273,185,232,79,16,18,Nebraska,Sarpy County,158045,1865,134654,1632,23391,1746,10681,1249,7727,783,4983,1120,,,15,21
