Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
002,020,053,001,Alaska,Anchorage Municipality,275651,482,210426,2824,62055,2724,40186,2078,6133,841,15736,1481,3170,642,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,23,36
006,019,053,001,California,Fresno County,874912,954,727561,5635,142484,5535,113150,4941,22226,2152,7108,991,4867,895,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,28,46
006,107,053,001,California,Tulare County,407846,635,352348,3030,53302,2809,39618,2275,10295,1212,3389,835,2196,599,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,49,62
008,005,053,001,Colorado,Arapahoe County,536072,583,440783,3280,91705,3139,42087,2280,32640,1851,16978,1508,3584,635,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,8,12
016,041,053,001,Idaho,Franklin County,12088,55,10319,352,1684,339,605,218,169,86,910,288,85,57,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,26,44
016,057,053,001,Idaho,Latah County,37055,95,23492,939,13331,990,6804,940,2932,665,3595,488,232,152,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,3,4
019,125,053,001,Iowa,Marion County,32257,102,27351,604,4827,636,2548,461,1569,429,710,251,79,51,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,7,12
032,510,053,001,Nevada,Carson City,54600,211,43983,1450,10303,1408,6294,1089,2333,542,1676,463,314,146,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,11,18
036,075,053,001,New York,Oswego County,120392,194,102574,1311,17568,1296,11830,1198,4585,684,1153,260,250,113,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,3,5
041,007,053,001,Oregon,Clatsop County,36565,137,28788,784,7715,828,4203,664,1551,335,1961,424,62,42,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,10,15
053,003,053,001,Washington,Asotin County,20861,92,17269,520,3515,518,1991,419,422,183,1102,327,77,79,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,20,32
053,005,053,001,Washington,Benton County,158619,279,127244,1954,30587,1952,17608,1485,7003,1127,5976,1038,788,241,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,33,53
053,007,053,001,Washington,Chelan County,69390,242,59666,1079,9435,1042,5308,742,2629,526,1498,590,289,148,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,47,53
053,009,053,001,Washington,Clallam County,69631,108,58522,1147,10963,1156,6211,722,2250,502,2502,518,146,87,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,12,19
053,019,053,001,Washington,Ferry County,7402,31,6790,224,598,214,270,143,242,128,86,68,14,17,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,1,2
053,021,053,001,Washington,Franklin County,68335,235,56980,1284,10984,1254,4895,938,4119,674,1970,674,371,145,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,81,82
053,025,053,001,Washington,Grant County,82296,254,68323,1595,13494,1579,8754,1269,2755,606,1985,454,479,211,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,246,202
053,029,053,001,Washington,Island County,79703,145,64446,1510,14490,1339,6803,907,2544,478,5143,991,767,325,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,17,25
053,031,053,001,Washington,Jefferson County,29019,102,24972,655,3969,616,1845,429,1198,362,926,259,78,61,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,8,12
053,033,053,001,Washington,King County,1834556,975,1479270,6462,331834,6350,227481,5200,40052,2289,64301,3173,23452,1644,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,60,56
053,037,053,001,Washington,Kittitas County,38141,95,27739,909,10212,873,5751,760,3835,667,626,244,190,97,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,47,56
053,041,053,001,Washington,Lewis County,72361,216,59613,1096,12681,1074,7556,1050,3469,564,1656,481,67,50,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,12,21
053,043,053,001,Washington,Lincoln County,10129,50,8573,271,1534,270,518,149,854,216,162,82,22,14,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,10,14
053,053,053,001,Washington,Pierce County,763585,571,601788,4619,152435,4617,97515,3589,25560,1944,29360,1893,9362,1304,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,60,65
053,061,053,001,Washington,Snohomish County,664523,599,543075,3742,117292,3717,73867,3595,27810,1544,15615,1303,4156,617,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,26,43
053,063,053,001,Washington,Spokane County,449228,395,359827,2762,86949,2702,58902,2478,12601,1138,15446,1330,2452,609,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,130,70
053,065,053,001,Washington,Stevens County,41404,84,36314,787,5026,783,2607,663,1471,288,948,335,64,42,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,16,25
053,067,053,001,Washington,Thurston County,235992,394,191227,2135,42345,2081,25027,2081,9335,955,7983,882,2420,546,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,23,33
053,071,053,001,Washington,Walla Walla County,57197,136,45172,1115,11431,1088,5340,785,3272,542,2819,462,594,239,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,22,38
053,075,053,001,Washington,Whitman County,41401,101,27842,1030,12852,977,5673,716,5247,708,1932,390,707,336,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,62,71
053,077,053,001,Washington,Yakima County,228619,450,186798,2674,40406,2772,30262,2679,5131,905,5013,800,1415,580,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,49,50
054,069,053,001,West Virginia,Ohio County,43895,111,38055,651,5791,644,3450,520,771,186,1570,365,49,41,Washington,Adams County,16931,402,14254,478,2677,488,1511,381,982,267,184,107,,,16,27
006,037,053,003,California,Los Angeles County,9639633,2416,8385192,16130,1179519,15903,966637,14727,116102,4179,96780,3804,74922,2875,Washington,Asotin County,20951,565,17269,520,3682,578,1991,419,357,143,1334,360,,,54,63
006,073,053,003,California,San Diego County,2942250,1336,2402432,8152,505688,7975,363883,7418,64096,3642,77709,3350,34130,2164,Washington,Asotin County,20951,565,17269,520,3682,578,1991,419,357,143,1334,360,,,10,16
016,009,053,003,Idaho,Benewah County,9123,56,7871,219,1252,201,581,155,310,130,361,127,,,Washington,Asotin County,20951,565,17269,520,3682,578,1991,419,357,143,1334,360,,,8,12
016,017,053,003,Idaho,Bonner County,40451,128,35155,703,5163,711,2674,538,535,212,1954,457,133,60,Washington,Asotin County,20951,565,17269,520,3682,578,1991,419,357,143,1334,360,,,10,17
016,035,053,003,Idaho,Clearwater County,8129,42,6923,192,1190,185,519,148,417,129,254,120,16,23,Washington,Asotin County,20951,565,17269,520,3682,578,1991,419,357,143,1334,360,,,93,98
016,055,053,003,Idaho,Kootenai County,131577,289,108335,1779,22946,1767,14572,1699,1855,544,6519,796,296,125,Washington,Asotin County,20951,565,17269,520,3682,578,1991,419,357,143,1334,360,,,33,43
