Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
004,013,018,001,Arizona,Maricopa County,3835677,1696,3067321,12603,743278,12614,574235,11769,39795,2829,129248,4343,25078,2110,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,36,44
005,007,018,001,Arkansas,Benton County,224567,390,185080,2255,37588,2347,22900,1939,5644,838,9044,1232,1899,559,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,27,42
006,071,018,001,California,San Bernardino County,2028423,1098,1678315,8109,339904,8116,229746,7623,84492,4069,25666,1955,10204,1039,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,49,89
006,083,018,001,California,Santa Barbara County,422201,377,333346,3123,83803,3092,59381,2729,16842,1113,7580,825,5052,790,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,45,67
012,009,018,001,Florida,Brevard County,540679,494,461562,3294,76571,3273,50476,2729,9792,1028,16303,1627,2546,547,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,13,21
013,053,018,001,Georgia,Chattahoochee County,11974,69,6085,544,5082,571,650,265,578,226,3854,531,807,246,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,13,17
017,119,018,001,Illinois,Madison County,264877,376,230028,1955,34451,1917,21478,1428,8221,921,4752,740,398,153,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,11,18
018,003,018,001,Indiana,Allen County,353431,375,306162,1953,46105,1905,34802,1640,5219,566,6084,878,1164,311,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,270,124
018,009,018,001,Indiana,Blackford County,12462,61,10448,376,2014,364,1381,319,492,210,141,134,,,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,36,42
018,017,018,001,Indiana,Cass County,38286,117,33225,648,4917,664,3306,601,1332,273,279,140,144,93,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,14,24
018,033,018,001,Indiana,DeKalb County,41923,108,36936,746,4970,734,3026,592,1468,431,476,213,17,26,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,13,23
018,035,018,001,Indiana,Delaware County,116418,201,85102,1490,31063,1444,18516,1341,10089,979,2458,448,253,123,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,22,23
018,039,018,001,Indiana,Elkhart County,195537,331,167146,2296,27944,2266,19746,1982,4335,745,3863,778,447,180,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,3,6
018,045,018,001,Indiana,Fountain County,16937,64,14386,293,2538,283,1609,293,772,236,157,67,13,19,Indiana,Adams County,34146,423,30453,538,3693,489,2348,415,884,226,461,175,,,63,80
