Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
004,013,027,001,Arizona,Maricopa County,3835677,1696,3067321,12603,743278,12614,574235,11769,39795,2829,129248,4343,25078,2110,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,17,28
027,003,027,001,Minnesota,Anoka County,329737,320,291319,1821,37211,1805,18710,1516,14528,1204,3973,688,1207,328,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,9,14
027,005,027,001,Minnesota,Becker County,32470,64,28751,453,3669,441,1951,336,956,190,762,253,50,30,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,4,5
027,011,027,001,Minnesota,Big Stone County,5172,17,4707,107,463,105,272,75,152,65,39,21,2,3,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,7,11
027,035,027,001,Minnesota,Crow Wing County,61997,131,53570,777,8259,770,5050,677,2492,392,717,183,168,90,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,41,32
027,037,027,001,Minnesota,Dakota County,397369,409,345621,2469,49614,2431,26768,1760,16761,1391,6085,649,2134,549,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,23,26
027,041,027,001,Minnesota,Douglas County,35884,90,30642,572,5183,538,3220,498,1696,355,267,109,59,37,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,48,46
027,053,027,001,Minnesota,Hennepin County,1155216,763,954663,3915,191690,3879,124132,3557,39041,1864,28517,1374,8863,787,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,82,72
027,059,027,001,Minnesota,Isanti County,37484,133,32972,622,4435,634,1655,367,2277,504,503,224,77,48,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,47,68
027,061,027,001,Minnesota,Itasca County,44776,79,39406,640,5271,630,3103,511,1535,420,633,250,99,54,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,16,16
027,067,027,001,Minnesota,Kandiyohi County,41815,76,36194,596,5578,599,3321,481,1519,298,738,301,43,33,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,6,10
027,085,027,001,Minnesota,McLeod County,35851,87,31576,511,4252,513,2691,378,1439,338,122,83,23,15,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,6,10
027,089,027,001,Minnesota,Marshall County,9329,27,8550,119,772,114,344,91,292,68,136,50,7,6,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,1,5
027,095,027,001,Minnesota,Mille Lacs County,25573,75,21621,498,3935,505,1841,305,1851,416,243,94,17,16,Minnesota,Aitkin County,15777,229,14395,213,1382,236,695,173,600,170,87,58,,,37,32
