Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
019,003,019,001,Iowa,Adams County,3582,25,3187,116,395,124,215,124,134,60,46,32,,,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,7,11
019,007,019,001,Iowa,Appanoose County,12388,51,10891,314,1495,306,847,241,411,164,237,112,2,4,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,8,8
019,011,019,001,Iowa,Benton County,25255,85,22870,483,2368,463,1060,304,1141,290,167,135,17,19,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,9,15
019,021,019,001,Iowa,Buena Vista County,19734,82,17187,440,2488,435,1403,415,627,154,458,165,59,49,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,4,8
019,029,019,001,Iowa,Cass County,12862,49,11310,279,1523,279,900,226,422,193,201,103,29,30,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,44,32
019,031,019,001,Iowa,Cedar County,18225,85,16544,397,1679,406,890,348,500,124,289,137,2,11,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,1,2
019,049,019,001,Iowa,Dallas County,89177,210,75182,1342,13884,1289,4022,667,7528,1063,2334,581,111,75,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,21,23
019,053,019,001,Iowa,Decatur County,7842,25,6476,208,1327,213,507,154,561,117,259,84,39,29,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,14,14
019,061,019,001,Iowa,Dubuque County,96007,249,83394,862,12383,837,7628,649,1450,293,3305,576,230,98,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,7,11
019,073,019,001,Iowa,Greene County,8848,36,7641,261,1181,256,354,114,683,194,144,91,26,24,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,2,4
019,075,019,001,Iowa,Grundy County,12125,37,11094,213,990,208,377,103,538,179,75,47,41,46,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,1,2
019,077,019,001,Iowa,Guthrie County,10650,25,9432,182,1200,183,490,135,556,134,154,68,18,16,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,25,23
019,083,019,001,Iowa,Hardin County,16730,42,15008,256,1630,254,910,211,474,128,246,97,92,52,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,9,16
019,085,019,001,Iowa,Harrison County,13913,41,12607,234,1300,230,584,166,292,78,424,118,6,6,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,9,12
019,091,019,001,Iowa,Humboldt County,9357,50,8328,240,1023,229,474,176,479,171,70,40,6,7,Iowa,Adair County,7639,342,6054,184,1585,347,356,119,1086,292,143,144,,,1,2
