Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
001,001,021,001,Alabama,Autauga County,54929,190,48039,1170,6610,1111,3235,935,2006,501,1369,402,280,273,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,26,41
008,041,021,001,Colorado,El Paso County,701947,668,554323,4808,141433,4695,77796,3477,16464,1690,47173,2769,6191,852,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,16,26
018,121,021,001,Indiana,Parke County,16702,72,14403,415,2268,384,812,276,1241,235,215,127,31,33,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,1,2
019,153,021,001,Iowa,Polk County,479603,566,402705,3447,75269,3421,49917,2861,14376,1357,10976,1208,1629,403,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,4,9
021,005,021,001,Kentucky,Anderson County,22445,69,18939,918,3461,926,1812,725,1605,579,44,40,45,55,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,47,47
021,009,021,001,Kentucky,Barren County,43414,156,37977,784,5415,764,3063,704,1777,487,575,222,22,22,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,79,95
021,035,021,001,Kentucky,Calloway County,38708,113,31766,872,6693,838,3412,716,1768,358,1513,312,249,199,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,22,38
021,037,021,001,Kentucky,Campbell County,92568,207,79996,1050,12273,990,5500,716,3721,472,3052,590,299,148,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,31,37
021,045,021,001,Kentucky,Casey County,15823,66,13692,401,2118,396,1235,307,556,226,327,137,13,17,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,23,25
021,047,021,001,Kentucky,Christian County,70431,209,54855,1276,14486,1255,5677,820,1561,445,7248,1005,1090,350,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,72,120
021,053,021,001,Kentucky,Clinton County,10094,41,9337,211,757,212,403,174,143,93,211,147,,,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,9,21
021,057,021,001,Kentucky,Cumberland County,6553,55,5798,243,755,237,414,202,180,89,161,93,,,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,10,12
021,059,021,001,Kentucky,Daviess County,99645,258,84857,1219,14532,1118,9958,1075,2817,581,1757,434,256,135,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,37,52
021,067,021,001,Kentucky,Fayette County,318687,386,245688,2930,70577,2948,45935,2577,12926,1199,11716,1320,2422,553,Kentucky,Adair County,19377,448,17157,375,2220,374,628,201,1399,321,193,91,,,94,103
