Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
006,037,031,001,California,Los Angeles County,9934933,2213,8950027,12213,918869,12239,717388,10582,103932,3158,97549,3221,66037,2494,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,6,10
008,001,031,001,Colorado,Adams County,503314,556,424011,3500,76578,3520,36545,2663,29103,2043,10930,1344,2725,604,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,20,32
008,041,031,001,Colorado,El Paso County,701947,668,554323,4808,141433,4695,77796,3477,16464,1690,47173,2769,6191,852,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,73,123
008,123,031,001,Colorado,Weld County,311699,405,261415,2990,49181,2889,21906,2109,19351,1556,7924,1137,1103,329,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,33,30
016,051,031,001,Idaho,Jefferson County,28847,112,25239,951,3485,958,1063,603,1271,437,1151,531,123,89,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,244,315
029,123,031,001,Missouri,Madison County,12057,65,10303,363,1737,371,923,313,624,204,190,157,17,25,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,1,2
029,145,031,001,Missouri,Newton County,57465,161,49597,1026,7804,1009,3634,730,2652,478,1518,403,64,66,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,2,3
029,147,031,001,Missouri,Nodaway County,22003,53,17008,459,4908,455,1829,366,2002,305,1077,248,87,58,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,14,23
029,179,031,001,Missouri,Reynolds County,6255,14,5233,214,1022,214,554,200,318,166,150,86,,,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,10,21
031,003,031,001,Nebraska,Antelope County,6240,23,5808,96,414,86,166,59,207,62,41,29,18,22,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,14,12
031,007,031,001,Nebraska,Banner County,634,83,619,80,15,16,3,4,1,3,11,16,,,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,1,3
031,013,031,001,Nebraska,Box Butte County,10739,58,8749,617,1990,605,946,453,598,349,446,286,,,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,21,30
031,017,031,001,Nebraska,Brown County,2876,145,2396,158,421,127,127,91,154,77,140,98,59,62,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,72,65
031,019,031,001,Nebraska,Buffalo County,49059,121,38703,823,10187,794,6287,819,3141,535,759,220,169,78,Nebraska,Adams County,32781,1052,26650,578,6131,998,2795,496,2785,824,551,356,,,192,106
