Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
001,073,050,001,Alabama,Jefferson County,650370,801,551514,3889,96486,3843,67835,3305,16700,1531,11951,1364,2370,537,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,8,15
002,290,050,001,Alaska,Yukon-Koyukuk Census Area,5192,29,4553,115,623,111,261,59,279,107,83,32,16,16,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,3,5
004,015,050,001,Arizona,Mohave County,208907,401,172646,2744,35304,2698,18396,1759,3045,683,13863,1520,957,388,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,11,47
006,037,050,001,California,Los Angeles County,9934933,2213,8950027,12213,918869,12239,717388,10582,103932,3158,97549,3221,66037,2494,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,11,19
006,053,050,001,California,Monterey County,428058,476,377634,2819,46741,2855,24443,2299,13788,1073,8510,1278,3683,792,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,20,32
006,059,050,001,California,Orange County,3138061,1201,2745432,6760,366907,6639,255402,5906,78114,3960,33391,2209,25722,1962,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,6,9
006,075,050,001,California,San Francisco County,866648,710,739716,3372,115405,3590,64005,2752,32259,1757,19141,1268,11527,1359,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,31,32
006,079,050,001,California,San Luis Obispo County,280043,346,230094,2528,49078,2535,27789,2125,16028,1170,5261,834,871,289,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,62,81
008,059,050,001,Colorado,Jefferson County,572809,606,485505,3511,85160,3562,35656,2046,32420,2218,17084,1688,2144,486,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,38,47
008,077,050,001,Colorado,Mesa County,151696,256,123549,1915,27847,1940,17696,1763,5234,826,4917,824,300,141,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,11,18
008,101,050,001,Colorado,Pueblo County,165695,283,141110,1611,24171,1582,16258,1572,4359,781,3554,459,414,205,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,27,42
009,009,050,001,Connecticut,New Haven County,847727,648,745368,4037,96538,4125,62837,3685,15877,1448,17824,1706,5821,878,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,8,12
011,001,050,001,District of Columbia,District of Columbia,693253,778,559402,3329,123782,3406,67102,2693,,,56680,2445,10069,1010,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,12,28
012,011,050,001,Florida,Broward County,1920201,1403,1646865,7114,246585,6670,167512,5735,45223,3429,33850,2196,26751,1930,Vermont,Addison County,36499,623,32023,453,4476,550,1919,300,1398,402,1159,286,,,35,59
